"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"ESL:Prof&Acad Writng Skills","327","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","002","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","005","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","006","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","","Course Total","","53","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"English Phonology","330","001","","37","3.324","21.6","40.5","24.3","8.1","5.4",".",".",".",".",".",".",".",".",".",".","."
"English Lang Variation in U.S.","331","001","","31","3.435","16.1","61.3","19.4",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Second Language Acquisition","333","001","","31","3.919","90.3","3.2","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","334","001","","25","3.761","68.0","12.0","8.0",".","4.0",".",".","4.0",".",".",".",".","4.0",".",".","."
"Techniques&Materials for TESOL","335","001","","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-English Lang & Linguis","338","002","","17","3.559","58.8","5.9","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Soph Honors: Rsch Meth-English","381","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Outstandg Figures-16thc Lit","401","001","","14","3.750","64.3","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"A Theme in 16th C Eng Lit","402","001","","26","3.462","34.6","42.3","7.7","11.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"","417","001","","34","3.074","26.5","14.7","29.4","11.8","14.7","2.9",".",".",".",".",".",".",".",".",".","."
"","417","002","","33","3.645","48.5","30.3","12.1",".","3.0",".",".","3.0",".",".",".",".","3.0",".",".","."
"Shakespeare","","Course Total","","67","3.346","37.3","22.4","20.9","6.0","9.0","1.5",".","1.5",".",".",".",".","1.5",".",".","."
"Outstnd Figures-17c Eng Lit","425","002","","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Outstnd Figures-18c Eng Lit","441","001","","19","3.289","21.1","52.6","15.8","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"Theme in 18th C Eng Lit","442","001","","28","3.389","14.3","60.7","10.7","7.1","3.6",".",".","3.6",".",".",".",".",".",".",".","."
"Studies in Romantic Lit","465","001","","23","2.935","4.3","34.8","30.4","21.7","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"Jr Honors Seminar in Major","481","001","","11","3.364","9.1","54.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","504","001","","27","3.370","29.6","37.0","29.6",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"","504","002","","35","3.162","14.3","28.6","34.3","14.3","5.7",".",".","2.9",".",".",".",".",".",".",".","."
"Theme in 20th C Eng Lit","","Course Total","","62","3.254","21.0","32.3","32.3","8.1","3.2",".","1.6","1.6",".",".",".",".",".",".",".","."
"Mod British Lit Since 1914","507","001","","26","3.115","11.5","42.3","15.4","19.2","11.5",".",".",".",".",".",".",".",".",".",".","."
"Topics in 20C Lit in English","516","002","","31","3.452","25.8","45.2","22.6","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Survey: Theories of Drama","520","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","550","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","550","002","","6","4.000","66.7",".",".",".",".",".",".","16.7",".",".",".",".",".",".","16.7","."
"","550","003","","19","3.737","47.4","52.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in Criticism","","Course Total","","35","3.773","54.3","37.1","2.9",".",".",".",".","2.9",".",".",".",".",".",".","2.9","."
"Modern Critical Theories","553","001","","10","3.222","30.0","40.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","10.0","."
"","563","001","","21","3.238","19.0","47.6","23.8",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","563","002","","34","3.984","91.2","2.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Studies in Narrative Lit","","Course Total","","55","3.689","63.6","20.0","9.1",".","1.8",".","1.8",".",".",".",".",".","3.6",".",".","."
"Topic-Ethnic&Multicultr Lit","591","001","","31","3.500","38.7","45.2","9.7","3.2",".",".","3.2",".",".",".",".",".",".",".",".","."
"Asian Amer Women Writers","595","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit of the Amer Renaissance","618","001","","16","3.333","25.0","31.3","25.0","6.3","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"Theme in 19th C Amer Lit","626","002","","9","3.389","33.3","33.3","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","630","001","","22","3.409","27.3","40.9","18.2","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","","Page 206 of 403",""
