"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"","100","001","18","3.389","16.7","44.4","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","002","21","3.429","9.5","66.7","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","003","19","3.579","42.1","31.6","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","004","19","3.750","47.4","47.4",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Freshman Topics Seminar","","Course Total","77","3.533","28.6","48.1","22.1",".",".",".",".",".",".",".",".",".","1.3",".",".","."
"Intro-Internatl Relations","103","001","357","2.930","16.5","23.5","20.7","21.0","9.8","5.3","1.4","1.7",".",".",".",".",".",".",".","."
"Intro-Amer Politcs&Governmt","104","001","412","2.977","11.9","19.4","31.3","30.3","5.3","0.2","1.0","0.5",".",".",".",".",".",".",".","."
"Intro-Comparative Politics","106","001","197","3.041","12.7","28.9","28.4","14.7","13.2","0.5","0.5","1.0",".",".",".",".",".",".",".","."
"Intro to American Politics","184","001","19","3.368","31.6","26.3","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Comp Politics(Honors)","186","001","18","3.694","55.6","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to State Government","205","001","68","3.132","26.5","23.5","27.9","8.8","8.8","1.5","2.9",".",".",".",".",".",".",".",".","."
"Intro to Political Theory","209","001","324","3.183","18.5","36.7","24.1","9.3","5.9","3.7","0.3","0.6",".",".",".",".","0.9",".",".","."
"Law, Politics and Society","217","001","30","3.054","13.3","13.3","46.7","16.7",".","3.3",".",".",".",".",".",".",".",".","6.7","."
"Intro to East Asian Civ","222","001","24","3.375","37.5","20.8","25.0","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","12","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","28","3.229","10.7","35.7","21.4","17.9",".",".",".",".",".",".",".",".","7.1","7.1",".","."
"Political Choice and Strategy","274","001","45","2.978","24.4","17.8","20.0","13.3","20.0","4.4",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","28","3.554","46.4","32.1","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Prin-International Law","316","001","141","3.418","40.4","24.1","22.7","7.1","4.3","1.4",".",".",".",".",".",".",".",".",".","."
"Eur Union:Politics&Pol Econ","338","001","133","2.957","6.0","28.6","31.6","21.8","8.3","1.5","0.8","1.5",".",".",".",".",".",".",".","."
"China in World Politics","346","001","76","3.377","38.2","15.8","25.0","14.5","2.6",".",".",".",".",".",".",".","3.9",".",".","."
"African Intl Relations","362","001","42","3.134","19.0","26.2","21.4","23.8","7.1",".",".","2.4",".",".",".",".",".",".",".","."
"Anal of Internatl Relations","376","001","57","2.772","22.8","22.8","19.3","8.8","8.8","8.8","8.8",".",".",".",".",".",".",".",".","."
"Nuclear Weapons&World Poltc","377","001","71","2.993","21.1","23.9","16.9","16.9","15.5","2.8","1.4",".",".",".",".",".",".",".","1.4","."
"Conflict Resolution","378","001","19","3.447","47.4","26.3","10.5",".","15.8",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","400","001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","001","32","2.766","12.5","15.6","21.9","31.3","12.5","3.1","3.1",".",".",".",".",".",".",".",".","."
"","401","003","58","3.546","50.0","12.1","22.4","6.9","1.7",".",".","6.9",".",".",".",".",".",".",".","."
"","401","004","9","3.111","22.2","22.2","44.4",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","401","006","31","3.083","22.6","25.8","25.8","9.7","6.5","3.2","3.2","3.2",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","130","3.204","32.3","16.9","24.6","13.1","5.4","2.3","1.5","3.8",".",".",".",".",".",".",".","."
"State Gov & Public Policy","405","001","24","3.021",".","37.5","41.7","8.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law","411","001","74","3.317","32.4","23.0","24.3","10.8","4.1",".","1.4","2.7",".",".",".",".",".","1.4",".","."
"American Judicial System","417","001","66","3.182","21.2","39.4","19.7","12.1","3.0",".","4.5",".",".",".",".",".",".",".",".","."
"Amer Parties & Politics","424","001","46","2.978","19.6","17.4","19.6","21.7","19.6",".",".","2.2",".",".",".",".",".",".",".","."
"Citiznshp, Democrcy&Difference","425","001","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legislative Process","426","001","70","2.949","17.1","14.3","31.4","18.6","14.3","2.9",".",".",".",".",".",".","1.4",".",".","."
"Legislative Internship","427","001","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politcal Economy-Race in US","462","001","33","3.515","48.5","30.3","12.1","6.1",".",".","3.0",".",".",".",".",".",".",".",".","."
"Mexican-American Politics","464","001","16","3.281","43.8","18.8","25.0",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"The First Amendment","470","001","164","3.089","22.6","22.6","18.3","17.7","14.0","1.2",".","3.0",".",".",".",".",".",".","0.6","."
