"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"500
Fund Principles-Vet Anatomy","001","","77","3.435","45.5","11.7","31.2","7.8","3.9",".",".",".",".",".",".",".",".",".",".","."
"501
Veterinary Histology","001","","77","3.364","28.6","32.5","28.6","6.5","2.6","1.3",".",".",".",".",".",".",".",".",".","."
"503
Veterinary Develomntl Anat","001","","77","3.714","63.6","20.8","10.4","5.2",".",".",".",".",".",".",".",".",".",".",".","."
"551
Veterinary Physiology A","001","","77","2.968","15.6","16.9","39.0","5.2","22.1","1.3",".",".",".",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","25","3.964","88.0","8.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".","."
"775","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","8","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".","25.0","."
"775","003","","7","",".",".",".",".",".",".",".","57.1",".",".",".",".",".",".","42.9","."
"775","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","30","",".",".",".",".",".",".",".","73.3",".",".",".",".",".",".","26.7","."
