"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","2.000",".",".",".",".","100.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","38","3.064","10.5","26.3","31.6","18.4","5.3",".",".","",".","",".",".","",".","",".","7.9",".",".","."
"Junior","","196","3.214","54.6","17.9","8.7","8.7","5.1","2.0","1.0","",".","",".",".","",".","",".","2.0",".",".","."
"Senior","","139","3.503","51.1","23.7","11.5","7.2","1.4","0.7",".","",".","",".",".","",".","",".","4.3",".",".","."
"Undergraduates","","374","3.308","48.7","20.9","12.0","9.1","4.0","1.3","0.5","",".","",".",".","",".","",".","3.5",".",".","."
"Special","","16","3.750","75.0","12.5","6.3",".","6.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","391","3.335","49.9","20.5","11.8","8.7","4.1","1.3","0.5","",".","",".",".","",".","",".","3.3",".",".","."
