"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","61","2.883","14.8","11.5","44.3","8.2","11.5","8.2",".",".",".",".",".",".","1.6",".",".","."
"Asian American Movement","153
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Asian Am Hist:Movmnt&Dislocatn","160
001","135","3.567","50.4","29.6","10.4","5.2","3.0","1.5",".",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","33","3.000","15.2","39.4","24.2","3.0","6.1",".","9.1",".",".",".",".",".","3.0",".",".","."
"Topics-Asian Amer Studies","240
001","32","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Asian Americn Lit","270
001","11","3.227","9.1","27.3","63.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mutl Perceptns-Racl Minorty","443
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","001
540","29","3.810","75.9","17.2",".","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","540
002","24","3.630","45.8","29.2","20.8",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Special Topics","Course Total","53","3.731","62.3","22.6","9.4","3.8",".",".",".",".",".",".",".",".","1.9",".",".","."
"Humanities Topics","560
001","35","3.757","51.4","48.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Asian Amer Women Writers","595
001","7","3.583","42.9","14.3","28.6",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Ind Study:Directed Readings","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ASIAN AM
184","Dept. Total","389","3.476","46.8","25.7","16.7","3.9","3.3","1.8","0.8",".",".",".",".",".","1.0",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","34","3.294","29.4","26.5","29.4","2.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","88","3.570","50.0","27.3","10.2","8.0","3.4",".",".",".",".",".",".",".","1.1",".",".","."
"Junior","","109","3.503","51.4","23.9","14.7","2.8","2.8","2.8","0.9",".",".",".",".",".","0.9",".",".","."
"Senior","","157","3.449","45.9","26.1","18.5","2.5","1.9","2.5","1.3",".",".",".",".",".","1.3",".",".","."
"Undergraduates","","388","3.478","46.9","25.8","16.5","3.9","3.4","1.8","0.8",".",".",".",".",".","1.0",".",".","."
"Special","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","389","3.476","46.8","25.7","16.7","3.9","3.3","1.8","0.8",".",".",".",".",".","1.0",".",".","."
