"Biostats & Biomed Informatics","001
826","6","4.000","83.3",".",".",".",".",".",".","","16.7",".","",".",".","",".","",".",".",".","."
"Computn&Informatcs in Biol&Med","915
001","5","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Hlth Informatics-Med Students","918
020","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"B M I
210","Dept. Total","145","3.627","49.0","24.1","15.2","1.4","0.7","0.7","",".","8.3","",".",".","",".","",".","0.7",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","3.500",".","100.0",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","7","3.643","28.6","71.4",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","8","3.813","87.5",".",".","12.5",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","18","3.694","50.0","44.4",".","5.6",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","34","3.762","52.9","20.6","8.8",".",".",".","",".","17.6","",".",".","",".","",".",".",".",".","."
"Graduate","","65","3.602","43.1","27.7","16.9","1.5",".",".","",".","9.2","",".",".","",".","",".","1.5",".",".","."
"Prof Yr 3","","4","3.625","50.0","25.0","25.0",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","24","3.479","58.3","4.2","29.2",".","4.2","4.2","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","28","3.500","57.1","7.1","28.6",".","3.6","3.6","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","145","3.627","49.0","24.1","15.2","1.4","0.7","0.7","",".","8.3","",".",".","",".","",".","0.7",".",".","."
