"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Criminology","441
001","194","3.125","26.3","22.2","24.7","8.8","14.4","1.5","1.0",".",".",".",".",".","1.0",".",".","."
"","475
001","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"","475
003","32","2.887","15.6","21.9","21.9","18.8","12.5","3.1","3.1",".",".",".",".",".","3.1",".",".","."
"","475
004","35","2.786","11.4","22.9","14.3","25.7","20.0","5.7",".",".",".",".",".",".",".",".",".","."
"","475
005","37","3.703","59.5","27.0","8.1","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"","006
475","33","2.955","27.3","18.2","21.2","15.2","9.1","3.0","6.1",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","Course Total","144","3.130","30.6","22.9","15.3","15.3","9.7","2.8","2.1",".",".",".",".",".","0.7",".","0.7","."
"","496
001","12","3.042","33.3","16.7","16.7","25.0",".",".","8.3",".",".",".",".",".",".",".",".","."
"","496
002","8","3.313","37.5",".","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","496
005","12","3.963","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
496","12","3.708","83.3",".",".","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","496
008","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496
009","14","3.714","71.4","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","010
496","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","Course Total","81","3.662","72.8","7.4","9.9","6.2","2.5",".","1.2",".",".",".",".",".",".",".",".","."
"","530
002","28","2.893","10.7","14.3","39.3","28.6","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"","530
003","28","2.554","7.1",".","35.7","17.9","35.7","3.6",".",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","56","2.747","8.9","7.1","37.5","23.2","19.6","1.8","1.8",".",".",".",".",".",".",".",".","."
"","532
001","20","3.638","40.0","50.0",".",".","5.0",".",".",".",".",".",".",".","5.0",".",".","."
"","532
002","11","3.364","45.5","9.1","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","Course Total","31","3.538","41.9","35.5","9.7","3.2","6.5",".",".",".",".",".",".",".","3.2",".",".","."
"Language&Social Interaction","535
001","15","2.967","26.7","20.0","13.3","13.3","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"Envir Stwrdshp & Soc Justice","541
001","34","3.456","44.1","23.5","23.5","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Collective Behavior","543
001","50","3.090","16.0","24.0","36.0","14.0","8.0","2.0",".",".",".",".",".",".",".",".",".","."
"Soc Perspec-Life Course&Age","575
001","25","3.600","32.0","56.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Poverty and Place","578
001","12","2.900","16.7","25.0","8.3","8.3","16.7","8.3",".",".",".",".",".",".","16.7",".",".","."
"Soc:Devlp Societies/3rd Wld","630
001","20","3.425","30.0","50.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"Sociology of Organizations","632
001","24","3.381","41.7","8.3","20.8","8.3","8.3",".",".",".",".",".",".",".","12.5",".",".","."
"Sociology of Law","641
001","33","3.242","30.3","30.3","18.2","6.1","12.1","3.0",".",".",".",".",".",".",".",".",".","."
"Sociology of Education","648
001","26","3.769","57.7","38.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Population and Society","663
001","16","3.438","31.3","43.8","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Elem Demographic Techniques","674
001","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","691
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","698
085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","26","3.785","84.6",".","3.8",".",".","3.8",".",".",".",".",".",".","7.7",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","Page 301 of 403",""
