"ECONOMICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"955
Workshop in Labor Economics","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"965
Quantitatve Macro-Econ Anal","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"968
Workshop-Public Economics","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"977
Wrkshp-Internatl Economics","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","2","***","","","","","","","","","","","","","","","",""
