"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.725","80.0","5.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","002
101","23","3.761","73.9","13.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","23","3.696","69.6","13.0","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","101
004","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","24","3.688","75.0","4.2","12.5",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","101
006","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
007","21","3.289","52.4","9.5","9.5","4.8","4.8","4.8","4.8","9.5",".",".",".",".",".",".",".","."
"First Semester German","Course Total","153","3.715","73.9","10.5","7.2","2.6","2.6","1.3","0.7","1.3",".",".",".",".",".",".",".","."
"","102
001","18","3.472","44.4","22.2","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","102
002","21","3.524","57.1","9.5","23.8",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","003
102","14","3.071","35.7","7.1","35.7","7.1",".","14.3",".",".",".",".",".",".",".",".",".","."
"","102
004","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","66","3.462","50.0","16.7","22.7","3.0","4.5","3.0",".",".",".",".",".",".",".",".",".","."
"","111
001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Dutch","Course Total","11","3.636","63.6","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","203
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","22","3.386","50.0","4.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","203
003","19","3.658","68.4","10.5","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","004
203","23","3.609","60.9","8.7","26.1",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","203
005","18","3.694","61.1","16.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
203","14","3.654","64.3",".","21.4","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","106","3.624","63.2","8.5","19.8","3.8","3.8",".",".","0.9",".",".",".",".",".",".",".","."
"","204
001","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
204","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","21","3.548","66.7","14.3","9.5",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","004
204","13","3.615","76.9","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","74","3.784","82.4","10.8","2.7",".","1.4",".","2.7",".",".",".",".",".",".",".",".","."
"Third Semester Dutch","213
001","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236
001","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Dutch Life & Culture","245
001","26","3.731","57.7","30.8","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
249","19","3.868","84.2","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
249","16","3.563","68.8","12.5","6.3",".","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","55","3.818","83.6","9.1","1.8","1.8","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"","258
002","15","3.333","46.7","20.0",".","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"","003
258","19","3.763","63.2","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
258","17","3.324","52.9","23.5","5.9","5.9",".","5.9","5.9",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","51","3.490","54.9","25.5","2.0","9.8","3.9","2.0","2.0",".",".",".",".",".",".",".",".","."
"","262
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","16","3.313","50.0","12.5","25.0",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","262
003","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","41","3.720","78.0","7.3","9.8",".","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"Intro to German Literature","274
001","12","3.375","41.7","16.7","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".","."
