"","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"999","022","","11","3.900","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","056","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","098","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","159","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","195","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","43","3.977","81.4","4.7",".",".",".",".",".","2.3",".",".",".",".","9.3",".","2.3","."
