"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"542
Intro to Microelectromech Sys","001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"548
Integrated Circuit Design","001","","22","3.048","18.2","13.6","27.3","31.8","4.5",".",".",".",".",".",".",".",".",".","4.5","."
"551
Digital Sys Design & Synthesis","001","","61","3.303","34.4","13.1","37.7","8.2","6.6",".",".",".",".",".",".",".",".",".",".","."
"552
Intro-Computer Architecture","001","","50","3.030","24.0","14.0","32.0","20.0","4.0","4.0","2.0",".",".",".",".",".",".",".",".","."
"553
Testing Desgn - Digital Sys","001","","11","3.409","36.4","18.2","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"554
Digital Engineering Lab","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"555
Digital Circuits&Components","001","","42","3.667","61.9","19.0","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","166","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","17","3.903","82.4","5.9",".",".",".",".",".","5.9",".",".",".","5.9",".",".",".","."
"702
Grad Cooperative Educ Program","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"707
Mobile and Wireless Networking","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"712","001","","28","3.696","57.1","28.6","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"712","003","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solid State Power Conversn","Course Total","","37","3.743","64.9","21.6","10.8","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"717
Linear Systems","001","","14","3.214","7.1","50.0","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"725
Plasma Kinetic&Radiatn Proc","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"730
Probability&Stochastic Proc","001","","29","3.385","13.8","44.8","27.6","3.4",".",".",".","3.4",".",".",".",".","3.4",".",".","3.4"
"740
Electromagnetic Theory","001","","18","3.618","55.6","11.1","22.2","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"748
Linear Waves","001","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Real-time Computing Systems","001","","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"751
Embedded Computing Systems","001","","32","3.483","21.9","46.9","25.0",".",".",".",".",".",".",".",".",".",".","3.1",".","3.1"
"752
Adv Computer Architecture I","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"790","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 115 of 403",""
