"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106","001","62","2.790","12.9","4.8","38.7","14.5","29.0",".",".",".",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113","001","223","3.271","22.4","35.0","25.6","9.0","6.3","0.4","0.4","0.4",".",".",".",".",".",".",".","0.4"
"","120","001","48","3.031","29.2","12.5","22.9","14.6","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"","120","002","67","2.799","9.0","17.9","29.9","16.4","23.9","3.0",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","115","2.896","17.4","15.7","27.0","15.7","20.9","3.5",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","23","3.000","13.0","30.4","30.4","13.0","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"Resources and People","139","001","26","3.173","15.4","23.1","46.2","11.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","14","3.571","50.0","21.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","10","3.700","70.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","44","3.045","20.5","22.7","22.7","22.7","6.8","4.5",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315","001","55","3.073","23.6","10.9","43.6","7.3","10.9","3.6",".",".",".",".",".",".",".",".",".","."
"Soils and Envrnmtl Quality","324","001","7","2.750","14.3","14.3","42.9",".",".",".","14.3","14.3",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","8","3.250","12.5","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","339","001","67","2.788","14.9","3.0","38.8","11.9","28.4","1.5",".","1.5",".",".",".",".",".",".",".","."
"","339","002","67","2.780","7.5","13.4","35.8","20.9","17.9","1.5","1.5",".",".",".",".",".",".","1.5",".","."
"Environmental Conservation","","Course Total","134","2.784","11.2","8.2","37.3","16.4","23.1","1.5","0.7","0.7",".",".",".",".",".","0.7",".","."
"Environmental Economics","343","001","25","3.068","36.0","12.0","16.0","24.0","8.0",".","4.0",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","64","3.127","15.6","29.7","28.1","17.2","6.3","1.6",".",".",".",".",".",".","1.6",".",".","."
"Renewable Energy Systems","367","001","26","2.846","3.8","15.4","50.0","7.7","23.1",".",".",".",".",".",".",".",".",".",".","."
"Field Ecology Workshop","375","001","19","3.553","26.3","57.9","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","9","3.625","55.6","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","11.1",".","."
"Topics: Env Perspctve-Phys Sci","401","001","15","3.607","40.0","33.3","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","402","001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","002","10","3.589","60.0","10.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","402","003","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","37","3.773","83.8","8.1","5.4",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411","001","53","3.387","28.3","41.5","15.1","9.4","5.7",".",".",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441","001","37","3.149","13.5","40.5","27.0","10.8","2.7","5.4",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","122","3.339","25.4","34.4","27.9","8.2","2.5",".","0.8","0.8",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502","001","99","3.531","30.3","44.4","24.2",".",".",".",".","1.0",".",".",".",".",".",".",".","."
"Modlng&Analysis of Envr Sys","506","001","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Atmospherc Dispersn&Pollutn","535","001","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","002","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","004","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","007","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","","Course Total","40","3.788","67.5","22.5","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Economics","671","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","054","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 150 of 403",""
