"EDUCATIONAL PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","",""
"771
Test Construction","001","","22","3.925","77.3","13.6",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"788","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"788","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","Course Total","","4","***","","","","","","","","","","","","","","","",""
"792
Tools for Thought","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"795","001","","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"795","002","","20","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Learning Sciences I","Course Total","","30","3.724","43.3","53.3",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"840","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"861
Stat Anal & Design-Ed Rsch","001","","11","3.813","54.5","9.1","9.1",".",".",".",".","18.2",".",".",".",".","9.1",".",".","."
"880
Prevention Science","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Smr-Adolescent Development","001","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"943
Internshp-School Psychology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"947
Evidence-based Chld Psychother","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"971
Adv Smr-Educ Measuremnt&Stats","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","32","",".",".",".",".",".",".",".","78.1",".",".",".","21.9",".",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","11","4.000","81.8",".",".",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
