"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Biomedical Engr Design","001","","50","3.530","40.0","28.0","30.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"300
Biomed Engineering Design","001","","62","3.734","59.7","29.0","9.7","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"315
Biomechanics","001","","66","3.356","21.2","39.4","30.3","7.6","1.5",".",".",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","10","2.550","20.0","10.0","10.0","20.0","30.0",".","10.0",".",".",".",".",".",".",".",".","."
"389","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"399","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","089","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","096","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","097","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","099","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","142","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","37","3.943","83.8","8.1","5.4",".",".",".",".",".",".",".",".",".",".",".","2.7","."
"400
Capstone Design Course","001","","52","3.548","21.2","67.3","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"462
Medical Instrumentation","001","","12","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"463
Computers in Medicine","001","","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Radiolgcal Physcs&Dosimetry","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Intro to Tissue Engineering","001","","35","3.500","34.3","40.0","20.0","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"511
Tissue Engineering Laboratory","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"517
Biology in Engineering Seminar","001","","38","",".",".",".",".",".",".",".",".",".","97.4","2.6",".",".",".",".","."
"550
Intro to Biolog & Med Microsys","001","","23","3.587","56.5","13.0","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"560
Biochemical Engineering","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"573
Med Img Sci:Math & Cncpt Fndtn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"615
Tissue Mechanics","001","","29","3.741","65.5","20.7","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","24","3.729","54.2","37.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 103 of 403",""
