"","990
034","","2","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
036","","2","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
038","","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","","31","",".",".",".",".","",".","",".","",".","32.3",".",".",".","12.9","",".",".","54.8","."
"PHMCOL-M
724","Dept. Total","","99","3.648","34.3","24.2","8.1","1.0","",".","",".","",".","10.1",".",".",".","4.0","",".",".","18.2","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Junior","","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","","6","3.563","50.0",".","33.3",".","",".","",".","",".",".",".",".",".",".","",".",".","16.7","."
"Undergraduates","","","9","3.708","66.7",".","22.2",".","",".","",".","",".",".",".",".",".",".","",".",".","11.1","."
"Graduate","","","89","3.633","31.5","27.0","6.7","1.1","",".","",".","",".","11.2",".",".",".","4.5","",".",".","18.0","."
"Prof Yr 3","","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".","100.0","."
"Professionals","","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".","100.0","."
"","Dept. Total","","99","3.648","34.3","24.2","8.1","1.0","",".","",".","",".","10.1",".",".",".","4.0","",".",".","18.2","."
