"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","96","3.324","38.5","19.8","25.0","6.3","4.2","3.1","1.0",".",".",".",".",".",".",".","2.1","."
"Production Planning&Control","315","001","","38","3.882","84.2","7.9","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","37","3.459","32.4","45.9","13.5","2.7","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"","321","002","","18","3.861","83.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","37","3.932","91.9","2.7","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","","45","3.144","26.7","26.7","22.2","11.1","8.9","2.2","2.2",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","62","3.828","67.7","27.4","3.2",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","52","3.683","50.0","36.5","13.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","","50","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","","31","3.194","19.4","25.8","35.5","12.9","6.5",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","","38","3.224","18.4","28.9","31.6","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis-Capital Investment","513","001","","48","3.372","35.4","16.7","33.3","10.4","2.1",".",".","2.1",".",".",".",".",".",".",".","."
"","515","001","","53","3.991","98.1","1.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515","002","","39","3.872","82.1","12.8","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","","Course Total","","92","3.940","91.3","6.5","1.1","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Decision Analysis","516","001","","33","3.727","66.7","18.2","9.1","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","14","3.464","42.9","28.6","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Modeling Tech","624","001","","26","3.260","23.1","34.6","15.4","15.4","7.7",".",".","3.8",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Job Design","653","001","","43","3.651","51.2","32.6","14.0",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Managing Tech Chng-Mfg Syst","658","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671","001","","33","3.939","87.9","12.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","003","","21","3.974","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","004","","24","3.833","70.8","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","006","","27","3.907","81.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","007","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","","96","3.915","84.4","14.6","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","","Page 125 of 403",""
