"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"Human Dev: Ed Effectiveness","Course Total","489","3.809","83.6","6.3","4.9","1.4","1.8","0.6","0.8",".",".",".",".",".","0.2","0.2",".","."
"","125
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
003","21","3.833","71.4","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
004","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
005","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
006","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
007","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
125","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
125","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
010","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
011","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
125","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
125","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
014","21","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
125","18","3.861","83.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
017","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Wisconsin Experience Seminar","Course Total","257","3.905","84.0","12.8","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Stdts Seekng Educ Equ&Div","325
001","19","3.842","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Peer Ldrshp&Mntrshp-Trans Stdt","350
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","30","3.917","90.0","3.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
005","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","54","3.914","81.5","9.3","3.7",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Theory & Prac-Interviewing","650
001","103","3.563","48.5","30.1","13.6","4.9","1.9",".","1.0",".",".",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
"Intro to Qualitative Research","719
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theories of Counseling","800
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess Tech for Counselors","801
001","13","3.750","61.5","15.4","15.4",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Tech&Microskills-Counselors","805
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"","807
002","10","3.875","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling II","Course Total","16","3.917","75.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"Master Intrshp-Cnslg & Guid","810
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","825
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicultural Counseling","860
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cnsl Psy Practicum-Foundation","900
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
