"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"","205
001","35","3.614","60.0","17.1","14.3","2.9","5.7",".",".",".",".",".",".",".",".",".",".","."
"","002
205","34","3.882","85.3","5.9","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Term-Greek&Latin Origin","Course Total","69","3.746","72.5","11.6","11.6","1.4","2.9",".",".",".",".",".",".",".",".",".",".","."
"Art&Archaeology-Ancient Greece","001
300","36","2.750","22.2","19.4","11.1","13.9","19.4","11.1","2.8",".",".",".",".",".",".",".",".","."
"Civilizat of Ancient Greece","320
001","82","3.594","46.3","36.6","7.3","3.7","2.4","1.2",".","1.2",".",".",".",".","1.2",".",".","."
"Topics in Classical Culture","373
001","61","3.642","44.3","41.0","9.8","3.3",".",".",".","1.6",".",".",".",".",".",".",".","."
"Love Poetry-Anct Mediterranean","376
001","64","3.183","25.0","32.8","15.6","12.5","9.4","1.6","1.6","1.6",".",".",".",".",".",".",".","."
"Religion-Ancient Mediterranean","517
001","48","3.323","22.9","41.7","25.0","6.3","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Adv Intdis Stdy-Medvl Civ","550
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","001
561","14","3.643","64.3",".","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Classical Literature","568
001","26","3.538","42.3","30.8","19.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Art&Archaeolog-Ancient Greece","700
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Ancient History","801
001","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"CLASSICS
244","Dept. Total","416","3.461","43.0","28.8","13.9","5.8","4.3","1.4","0.7","1.0",".",".",".","0.5","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","25","3.560","56.0","20.0","12.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","74","3.397","36.5","32.4","17.6","2.7","6.8","2.7",".","1.4",".",".",".",".",".",".",".","."
"Junior","","125","3.392","36.0","36.8","13.6","4.8","5.6","2.4","0.8",".",".",".",".",".",".",".",".","."
"Senior","","179","3.497","46.9","25.1","13.4","8.4","2.2","0.6","1.1","0.6",".",".",".","1.1","0.6",".",".","."
"Undergraduates","","403","3.450","42.2","29.8","14.1","6.0","4.5","1.5","0.7","0.5",".",".",".","0.5","0.2",".",".","."
"Special","","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Graduate","","11","3.900","81.8",".","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","Dept. Total","416","3.461","43.0","28.8","13.9","5.8","4.3","1.4","0.7","1.0",".",".",".","0.5","0.5",".",".","."
