"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"","751
001","","11","3.636","63.6","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","751
002","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Database Dsgn-Lib&Info Agency","Course Total","","17","3.618","58.8","17.6","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Smr-Info Agency Management","754
001","","34","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","755
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
755","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronic Rsrce Mgt & Licnsng","Course Total","","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","772
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","772
002","","11","3.682","63.6","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","Course Total","","20","3.825","80.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Project-Lib&Info Literacy","826
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","861
001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
861","","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","861
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Architecture","Course Total","","20","3.525","25.0","55.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Procsng&Retrvl","875
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Info Organization & Access","975
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","999
006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","12","3.941","66.7","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".","8.3","."
