"Old English","320
001","","6","3.833","83.3",".","16.7",".",".",".","",".",".",".","",".",".","",".","",".",".",".","."
"The Vikings","430
001","","25","3.182","24.0","24.0","20.0","16.0",".",".","","4.0","4.0",".","",".",".","",".","","8.0",".",".","."
"Survey of Medieval Lit","503
001","","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Old Germanic Languages","755
002","","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"MEDIEVAL
633","Dept. Total","","57","3.348","42.1","22.8","12.3","12.3","1.8","",".","3.5","1.8","",".",".","",".","",".","3.5",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","7","3.556","42.9","42.9",".","14.3",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","7","3.429","28.6","42.9","14.3","14.3",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","13","3.208","30.8","15.4","15.4","23.1","7.7","",".",".",".","",".",".","",".","",".","7.7",".",".","."
"Senior","","","24","3.225","41.7","20.8","16.7","8.3",".","",".","8.3",".","",".",".","",".","",".","4.2",".",".","."
"Undergraduates","","","51","3.297","37.3","25.5","13.7","13.7","2.0","",".","3.9",".","",".",".","",".","",".","3.9",".",".","."
"Special","","","2","4.000","50.0",".",".",".",".","",".",".","50.0","",".",".","",".","",".",".",".",".","."
"Graduate","","","4","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","57","3.348","42.1","22.8","12.3","12.3","1.8","",".","3.5","1.8","",".",".","",".","",".","3.5",".",".","."
