"","999
077","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"","999
080","10","3.952","90.0","10.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"","999
096","2","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Study","Course Total","168","3.966","91.7","7.1",".",".",".",".",".",".",".",".","",".","",".","0.6",".","0.6","."
"ART
168","Dept. Total","1531","3.677","67.3","16.9","8.6","2.5","1.8","0.8","0.7","0.3","0.1",".","",".","",".","0.8",".","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","154","3.559","59.7","19.5","10.4","3.9","3.9","1.9","0.6",".",".",".","",".","",".",".",".",".","."
"Sophomore","","245","3.572","60.8","19.6","7.8","4.5","2.4","2.0","1.6","0.4",".",".","",".","",".","0.8",".",".","."
"Junior","","309","3.568","56.0","21.0","12.9","3.9","2.9","0.6","1.0",".",".",".","",".","",".","1.3",".",".","0.3"
"Senior","","475","3.696","63.8","20.6","10.3","2.1","1.1","0.6","0.6","0.2",".",".","",".","",".","0.6",".",".","."
"Undergraduates","","1183","3.621","60.6","20.4","10.5","3.3","2.2","1.1","0.9","0.2",".",".","",".","",".","0.8",".",".","0.1"
"Special","","30","3.721","73.3",".","13.3",".","3.3",".",".","6.7","3.3",".","",".","",".",".",".",".","."
"Graduate","","317","3.951","91.5","5.7","0.9",".","0.3",".",".",".",".",".","",".","",".","1.3",".","0.3","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","1531","3.677","67.3","16.9","8.6","2.5","1.8","0.8","0.7","0.3","0.1",".","",".","",".","0.8",".","0.1","0.1"
