"REHAB PSYCH & SPECIAL EDU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","300
001","103","3.775","64.1","28.2","3.9","2.9",".",".",".","1.0",".",".",".",".",".",".",".","."
"","002
300","91","3.676","59.3","29.7","5.5","2.2","2.2",".","1.1",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","194","3.728","61.9","28.9","4.6","2.6","1.0",".","0.5","0.5",".",".",".",".",".",".",".","."
"Behav Anal:Person-Disabilty","330
001","42","3.833","73.8","19.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Functional Skills","Course Total","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adol. Lit. for Stdts with Dis","403
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnosis and Assessment","464
001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diversity in Special Education","466
001","30","3.717","66.7","16.7","13.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Meth&Curric:Lrn&Bhv Disabl,K-9","471
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt: Stdts/Lrn&Bhv Disability","001
473","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","475
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","Course Total","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract:Stdts/Lrn&Bhv Dis, 6-12","476
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","477
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","477
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","478
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","478
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","Course Total","3","***","","","","","","","","","","","","","","","",""
"Rehab-Cnslg Psych: Foundatn","500
001","71","3.901","83.1","14.1","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Rehab-Cnslg Psych: Applcatn","Course Total","30","3.931","86.7","6.7","3.3",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","505
001","82","3.707","57.3","29.3","12.2",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt Adults-Disablties","540
001","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychosoc Asp-Chrnc Ill&Disabl","560
001","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
019","27","3.969","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
020","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","56","3.985","98.2",".","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
012","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","024
660","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","26","3.846","84.6","3.8","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","690
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
022","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 74 of 403"
