"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"EAST ASIAN AREA STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to East Asian Civ","222
001","59","3.500","40.7","33.9","16.9","5.1","1.7","1.7",".","",".","",".","",".",".","",".",".",".",".","."
"","300
001","25","3.720","52.0","40.0","8.0",".",".",".",".","",".","",".","",".",".","",".",".",".",".","."
"","300
002","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Humanities Topics in EAS","Course Total","26","3.731","53.8","38.5","7.7",".",".",".","",".","",".","",".",".","",".",".",".",".",".","."
"Social Studies Topics in EAS","301
001","49","3.927","89.8","4.1","2.0","2.0",".",".",".","",".","",".","",".",".","",".","2.0",".",".","."
"Senior Thesis","691
001","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Directed Study","698
002","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Directed Study","699
001","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"E A STDS
298","Dept. Total","138","3.701","60.1","23.2","9.4","2.9","0.7","0.7","",".","",".","",".","0.7","",".","1.4","0.7",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","12","3.583","41.7","33.3","25.0",".",".",".","",".","",".","",".",".","",".",".",".",".",".","."
"Sophomore","","34","3.662","44.1","47.1","5.9","2.9",".",".","",".","",".","",".",".","",".",".",".",".",".","."
"Junior","","27","3.667","59.3","18.5","18.5","3.7",".",".","",".","",".","",".",".","",".",".",".",".",".","."
"Senior","","62","3.754","72.6","11.3","4.8","3.2","1.6","1.6","",".","",".","",".",".","",".","3.2","1.6",".",".","."
"Undergraduates","","135","3.697","60.0","23.7","9.6","3.0","0.7","0.7","",".","",".","",".",".","",".","1.5","0.7",".",".","."
"Special","","1","",".",".",".",".",".",".","",".","",".","",".","100.0","",".",".",".",".",".","."
"Graduate","","2","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","138","3.701","60.1","23.2","9.4","2.9","0.7","0.7","",".","",".","",".","0.7","",".","1.4","0.7",".",".","."
