"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","54","4.000","96.3",".",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"","160
001","20","3.525","50.0","10.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","160
002","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
003","18","3.676","55.6","16.7","22.2",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","53","3.644","56.6","15.1","24.5","1.9",".",".",".","1.9",".",".",".",".",".",".",".","."
"","170
002","24","3.021","16.7","25.0","29.2","20.8","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","170
003","23","3.435","26.1","39.1","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
170","22","2.909","18.2","18.2","27.3","18.2","13.6",".","4.5",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","69","3.123","20.3","27.5","29.0","14.5","5.8",".","2.9",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","197","3.033","24.4","29.9","14.2","15.2","7.1","6.1","3.0",".",".",".",".",".",".",".",".","."
"Dynamics","240
001","139","3.004","19.4","19.4","27.3","17.3","14.4","0.7","1.4",".",".",".",".",".",".",".",".","."
"","291
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","Course Total","4","***","","","","","","","","","","","","","","","",""
"Independent Study","299
050","23","3.990","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","45","2.967","20.0","13.3","24.4","28.9","11.1","2.2",".",".",".",".",".",".",".",".",".","."
"","306
002","86","3.099","14.0","17.4","45.3","20.9","2.3",".",".",".",".",".",".",".",".",".",".","."
"","003
306","38","3.053","13.2","23.7","28.9","28.9","5.3",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","169","3.053","15.4","17.8","36.1","24.9","5.3","0.6",".",".",".",".",".",".",".",".",".","."
"","307
001","12","3.042",".","8.3","91.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","10","3.050",".","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".","."
"","003
307","9","3.167","33.3","11.1","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","307
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
006","8","2.938","12.5","25.0","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","307
007","13","2.962","7.7","23.1","30.8","30.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"","307
008","8","3.063","12.5","12.5","62.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","307
009","10","3.050","10.0",".","80.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","010
307","11","3.318","18.2","45.5","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","307
011","9","3.000",".","22.2","66.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","012
307","11","2.955","27.3","9.1","18.2","18.2","27.3",".",".",".",".",".",".",".",".",".",".","."
"","307
013","13","2.731","23.1","15.4","23.1","7.7","15.4","7.7","7.7",".",".",".",".",".",".",".",".","."
"","307
014","11","3.318","9.1","54.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","130","3.031","12.3","22.3","40.0","14.6","9.2","0.8","0.8",".",".",".",".",".",".",".",".","."
"","001
313","48","3.104","6.3","31.3","39.6","22.9",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","52","3.183","11.5","38.5","34.6","9.6","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","100","3.145","9.0","35.0","37.0","16.0","2.0","1.0",".",".",".",".",".",".",".",".",".","."
"","314
001","50","3.110","6.0","40.0","30.0","18.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"","314
002","36","3.208",".","55.6","33.3","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Fundamentals","Course Total","86","3.151","3.5","46.5","31.4","14.0","4.7",".",".",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","001
331","127","3.377","29.9","37.0","22.8","4.7","2.4","0.8","1.6",".",".",".",".",".","0.8",".",".","."
"Intro to Dynamic Systems","340
001","135","3.049","14.8","23.7","29.6","21.5","8.1","1.5",".",".",".",".",".",".",".","0.7",".","."
"Design of Machine Elements","342
001","73","2.849","16.4","16.4","24.7","24.7","8.2","9.6",".",".",".",".",".",".",".",".",".","."
"","349
002","6","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","Page 129 of 403",""
