"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","19","3.579","47.4","31.6","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","22","3.810","72.7","13.6","4.5","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"","003
101","23","3.674","56.5","39.1",".",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","005
101","14","3.429","64.3","14.3","7.1",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","101
006","21","3.500","19.0","61.9","9.5","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"","101
007","21","3.595","47.6","28.6","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
009","16","3.719","62.5","31.3",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","011
101","18","3.594","33.3","38.9","16.7",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","101
012","19","3.474","36.8","36.8","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","173","3.604","48.6","33.5","9.2","3.5","1.7","0.6","0.6","2.3",".",".",".",".",".",".",".","."
"","102
002","21","3.357","38.1","28.6","14.3","14.3",".","4.8",".",".",".",".",".",".",".",".",".","."
"","003
102","19","2.944","5.3","31.6","26.3","21.1","5.3","5.3",".","5.3",".",".",".",".",".",".",".","."
"","102
004","22","3.548","45.5","36.4","4.5","4.5",".","4.5",".","4.5",".",".",".",".",".",".",".","."
"","102
006","18","2.781","11.1","11.1","22.2","27.8","11.1","5.6",".","11.1",".",".",".",".",".",".",".","."
"","102
007","15","2.867",".","53.3","13.3","13.3","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"","102
008","14","3.154","21.4","28.6","7.1","28.6","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","109","3.139","22.0","31.2","14.7","17.4","5.5","3.7","0.9","4.6",".",".",".",".",".",".",".","."
"Frnch 4 Spkrs of Othr Romc Lng","201
001","20","3.278","30.0","30.0","15.0","10.0",".",".","5.0","10.0",".",".",".",".",".",".",".","."
"","203
001","17","3.500","47.1","23.5","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","203
002","9","3.438","11.1","55.6","22.2",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","203
003","23","3.568","43.5","30.4","17.4",".","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"","203
004","22","3.222","9.1","36.4","22.7","9.1","4.5",".",".","13.6",".",".",".",".","4.5",".",".","."
"","203
006","18","3.056","11.1","44.4","11.1","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","008
203","24","3.271","4.2","54.2","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
009","18","3.139","16.7","22.2","38.9","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","203
010","18","3.176","11.1","50.0","11.1","16.7",".","5.6",".","5.6",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","149","3.292","19.5","38.9","22.1","10.1","3.4","1.3",".","2.7",".",".",".",".","2.0",".",".","."
"","204
001","19","3.237","10.5","42.1","36.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","204
002","21","3.286","28.6","23.8","38.1","4.8",".","4.8",".",".",".",".",".",".",".",".",".","."
"","204
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","204
005","16","3.344","12.5","43.8","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
007","20","3.025",".","45.0","35.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","204
008","13","2.923","7.7","38.5","23.1","23.1",".",".","7.7",".",".",".",".",".",".",".",".","."
"","204
009","14","3.214","7.1","42.9","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","108","3.208","13.9","38.9","34.3","8.3","1.9","1.9","0.9",".",".",".",".",".",".",".",".","."
"French Interdis Studies","211
001","13","3.154",".","61.5","30.8",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","227
001","21","3.357","33.3","23.8","28.6","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","002
227","15","3.567","33.3","53.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","227
004","21","3.500","19.0","66.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","227
005","14","3.143","21.4","42.9","14.3","14.3",".",".","7.1",".",".",".",".",".",".",".",".","."
"","006
227","12","3.375","33.3","8.3","58.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exploring French:Intermed Crse","Course Total","83","3.398","27.7","41.0","21.7","7.2","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"","228
001","24","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","17","3.610","47.1","41.2",".","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","228
006","19","3.638","52.6","31.6","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","Page 211 of 403",""
