"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"103","001","","151","3.257","19.2","47.0","15.2","9.3","6.0","1.3","1.3","0.7",".",".",".",".",".",".",".","."
"103","002","","150","2.940","22.0","14.7","20.7","19.3","12.7","3.3","2.0","2.7",".",".",".",".",".",".",".","2.7"
"103","003","","146","3.122","20.5","21.2","34.2","11.6","3.4","2.1","2.1","0.7",".",".",".",".",".",".","2.1","2.1"
"The Evolving Universe","Course Total","","447","3.109","20.6","27.7","23.3","13.4","7.4","2.2","1.8","1.3",".",".",".",".",".",".","0.7","1.6"
"104
Exploration of Solar System","001","","118","2.974","19.5","17.8","31.4","12.7","11.0","1.7","3.4","0.8",".",".",".",".","0.8",".","0.8","."
"113","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"113","002","","21","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"113","003","","21","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"113","004","","22","3.841","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hands on the Universe","Course Total","","77","3.831","80.5","5.2","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"310
Stellar Astrophysics","001","","27","3.231","25.9","25.9","14.8","25.9","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"330
Galaxies","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"460
Experience-Astronom Observ","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"691
Senior Thesis","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Basic Astrophysics I","001","","8","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"735
Observational Cosmology","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","24","",".",".",".",".",".",".",".","79.2",".",".",".","20.8",".",".",".","."
