"","990
002","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
012","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
021","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","Course Total","4","***","","","","","","","","","","","","","","","","","","",""
"HEBR ST
440","Dept. Total","152","3.667","51.3","29.6","11.8","2.0","",".","",".","0.7","1.3","0.7",".","",".","1.3","0.7",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","24","3.720","54.2","33.3","12.5",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","32","3.784","65.6","28.1","3.1","3.1","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Junior","","32","3.504","37.5","43.8","9.4","3.1","",".","",".","3.1",".",".",".","",".",".","3.1",".",".","."
"Senior","","29","3.750","65.5","13.8","17.2",".","",".","",".",".","3.4",".",".","",".",".",".",".",".","."
"Undergraduates","","117","3.687","55.6","29.9","10.3","1.7","",".","",".","0.9","0.9",".",".","",".",".","0.9",".",".","."
"Special","","4","3.455","25.0","25.0","25.0",".","",".","",".",".",".",".",".","",".",".",".",".","25.0","."
"Graduate","","31","3.593","38.7","29.0","16.1","3.2","",".","",".",".","3.2","3.2",".","",".","6.5",".",".",".","."
"","Dept. Total","152","3.667","51.3","29.6","11.8","2.0","",".","",".","0.7","1.3","0.7",".","",".","1.3","0.7",".","0.7","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","","","Page 222 of 403",""
