"","999
010","3","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
025","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
038","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Research","Course Total","5","***","","","","","","","","","","","","","","","","","","",""
"L SC COM
120","Dept. Total","465","3.744","66.5","16.8","10.5","0.6","1.7","0.4","",".","2.6","",".",".","",".","0.4","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","122","3.708","68.9","13.1","14.8","0.8","0.8","1.6","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","30","3.750","63.3","30.0","3.3",".","3.3",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","66","3.753","69.7","12.1","15.2",".","1.5",".","",".",".","",".",".","",".",".","1.5",".",".","."
"Senior","","196","3.736","66.3","20.9","9.2","1.0","2.6",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","414","3.732","67.4","17.9","11.4","0.7","1.9","0.5","",".",".","",".",".","",".",".","0.2",".",".","."
"Special","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","49","3.910","59.2","8.2","2.0",".",".",".","",".","24.5","",".",".","",".","4.1","2.0",".",".","."
"Prof Yr 4","","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","465","3.744","66.5","16.8","10.5","0.6","1.7","0.4","",".","2.6","",".",".","",".","0.4","0.4",".",".","."
