"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Technical Editing","497
001","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","499
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Adv Technical Japanese Smr","530
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Economics & Management","611
001","29","3.586","44.8","27.6","27.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Project Management","612
001","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Engr Strategies&Operatns","613
001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Design II","623
001","22","3.682","50.0","36.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Essential Skills-Engr Prod","641
001","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Systems Engineering","642
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching in Science & Engr","654
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
002","19","3.684","52.6","36.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","690
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
014","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","47","3.889","80.9","14.9","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
063","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"E P D
348","Dept. Total","891","3.566","44.9","29.3","18.0","3.4","1.0","0.3","0.2","0.2",".","1.2",".",".","1.1",".",".","0.1"
