"CONSUMER SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","",""
"250
Retail Leadership Symposium","001","","105","3.567","70.5","9.5","10.5","1.0","2.9","1.9","3.8",".",".",".",".",".",".",".",".","."
"275","001","","60","3.108","21.7","31.7","20.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"275","002","","68","3.672","57.4","26.5","8.8","2.9","2.9",".",".","1.5",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","","128","3.406","40.6","28.9","14.1","7.8","4.7","3.1",".","0.8",".",".",".",".",".",".",".","."
"357
Retailing Theory & Practice","001","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"477
The Consumer and the Market","001","","60","3.017","10.0","35.0","25.0","11.7","16.7","1.7",".",".",".",".",".",".",".",".",".","."
"501","002","","21","2.976","14.3","23.8","19.0","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"501","008","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","35","3.277","45.7","14.3","14.3","17.1","8.6",".",".",".",".",".",".",".",".",".",".","."
"532","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"532","002","","23","3.239","21.7","26.1","39.1","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","Course Total","","24","3.250","20.8","29.2","37.5","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"560
Retail Promotion","001","","29","3.793","62.1","34.5","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"565
Seminar in Consumer Science","001","","19","3.842","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Consumer Science Internship","015","","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"603
Retailing Internship","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"627
Advanced Consumer Finance","001","","27","3.278","25.9","29.6","25.9","11.1","7.4",".",".",".",".",".",".",".",".",".",".","."
"657
Consumer Behavior","001","","57","3.298","24.6","26.3","38.6","8.8",".","1.8",".",".",".",".",".",".",".",".",".","."
"665
Household Risk Management","001","","22","3.273","40.9","9.1","22.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"699
Independent Study","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Grad Spec Topics-Consumer Sci","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
