"KINESIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"","116","001","24","3.636","45.8","41.7",".",".",".","4.2",".",".",".",".",".",".","8.3",".",".","."
"","116","002","23","3.543","52.2","26.1","8.7","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"First Aid","","Course Total","47","3.589","48.9","34.0","4.3","2.1","4.3","2.1",".",".",".",".",".",".","4.3",".",".","."
"Introduction to Kinesiology","119","001","112","3.500","50.9","24.1","12.5","4.5","6.3","0.9","0.9",".",".",".",".",".",".",".",".","."
"Foundations of Physical Educ","121","001","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gymnastics for Teaching","126","001","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127","001","41","3.207","22.0","29.3","26.8","12.2","9.8",".",".",".",".",".",".",".",".",".",".","."
"","300","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","51","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Tech-Athletic Training","301","001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","64","3.641","48.4","34.4","14.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316","001","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Athletc Injuries","317","001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318","001","44","3.205","34.1","18.2","25.0","4.5","15.9","2.3",".",".",".",".",".",".",".",".",".","."
"","323","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","330","001","63","3.683","49.2","39.7","9.5","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Teachng Elem Phy Ed","335","001","10","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","63","3.452","36.5","30.2","20.6","7.9","3.2",".",".",".",".",".",".",".",".",".","1.6","."
"Therapeutic Strategies II","358","001","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","64","3.391","39.1","34.4","14.1","3.1","4.7","3.1","1.6",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of Physical Educ","378","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","13","3.864","84.6","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Adv Clinical Assessment in AT","417","001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field-Athletic Training","450","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Athletic Training","499","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
