"RURAL SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","",""
"140
Intro-Community & Envir Soc","001","","66","3.197","30.3","30.3","18.2","6.1","10.6","1.5","3.0",".",".",".",".",".",".",".",".","."
"210
Survey of Sociology","001","","36","3.375","38.9","38.9","8.3","8.3",".",".","5.6",".",".",".",".",".",".",".",".","."
"211
The Sociological Enterprise","001","","8","2.625",".","25.0",".","50.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"222
Food, Culture, and Society","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","002","","20","3.568","90.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"299","016","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","020","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","56","3.784","87.5","8.9","1.8",".",".","1.8",".",".",".",".",".",".",".",".",".","."
"357","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"357","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"357","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"357","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","001","","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","002","","7","3.357","14.3","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"360","003","","6","3.300","16.7","33.3","16.7","16.7",".",".",".",".",".",".",".",".","16.7",".",".","."
"Stats for Sociologists I","Course Total","","21","3.375","19.0","42.9","23.8","9.5",".",".",".",".",".",".",".",".","4.8",".",".","."
"361
Stats for Sociologists II","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"365
Computing-Sociologcl Resrch","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"380
Contemp Populatn Probs-Honors","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
Capstone Experience","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"532
Hlth Care Iss:Ind, Fam, Soc","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"541
Envir Stwrdshp & Soc Justice","001","","33","3.531","60.6","12.1","18.2",".",".","3.0","3.0",".",".",".",".",".","3.0",".",".","."
"578
Poverty and Place","001","","10","3.357","40.0",".","10.0","10.0","10.0",".",".",".",".",".",".",".","30.0",".",".","."
"630
Soc:Devlp Societies/3rd Wld","001","","11","3.591","54.5","27.3","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"748
Environmental Sociology","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940
Smr: Sociol-Econ Change","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"945
Seminar-Rural Sociology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","","Page 40 of 403"
