"DANCE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","44","3.893","84.1","4.5","4.5","2.3",".",".",".","4.5",".",".",".",".",".",".",".","."
"","1
002","32","3.982","84.4","3.1",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","003
1","21","3.375","61.9",".","19.0","4.8",".","4.8","4.8","4.8",".",".",".",".",".",".",".","."
"","004
1","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1
005","14","3.923","78.6","14.3",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","124","3.833","79.0","6.5","4.8","1.6",".","0.8","0.8","6.5",".",".",".",".",".",".",".","."
"Contemporary Dance I","11
001","30","3.724","60.0","20.0","16.7",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"","111
001","20","3.676","50.0","35.0",".",".","5.0",".",".",".",".",".",".",".","10.0",".",".","."
"","111
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory I","Course Total","38","3.808","73.7","18.4",".",".","2.6",".",".",".",".",".",".",".","5.3",".",".","."
"","001
118","46","3.837","87.0","6.5","2.2",".","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"","118
002","36","3.806","80.6","11.1","5.6",".",".","2.8",".",".",".",".",".",".",".",".",".","."
"African Dance","Course Total","82","3.823","84.1","8.5","3.7",".","1.2","2.4",".",".",".",".",".",".",".",".",".","."
"Contemporary Dance II","12
001","13","3.654","61.5","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","18","3.734","50.0","33.3","11.1",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Ballet Technique I-B","126
001","13","3.640","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","153
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collaborative Arts Workshop","159
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Year Workshop","162
001","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"World Dance Cultures","165
001","25","3.880","80.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","2
001","40","3.895","85.0","5.0",".","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","2
002","42","3.939","88.1","7.1","2.4",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","2
003","39","3.770","71.8","15.4",".","2.6","5.1",".",".","5.1",".",".",".",".",".",".",".","."
"","2
004","42","3.720","71.4","9.5","7.1","7.1","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"Ballroom Dancing I","Course Total","163","3.831","79.1","9.2","2.5","3.7","1.8",".",".","3.7",".",".",".",".",".",".",".","."
"Writing the Moving Body","200
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
002","24","3.881","75.0","20.8",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Contemp Dance Tech & Th III","Course Total","37","3.901","78.4","18.9",".",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"","225
001","13","3.600","23.1","46.2","7.7",".",".",".",".","15.4",".",".",".",".","7.7",".",".","."
"","225
002","8","3.643","25.0","62.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","225
003","10","3.313","30.0","20.0","20.0","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"Ballet Technique II","Course Total","31","3.500","25.8","41.9","9.7","3.2","3.2",".",".","12.9",".",".",".",".","3.2",".",".","."
"Intro-Dance/Movemnt Therapy","001
231","17","3.906","88.2",".",".","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"Dance Production Laboratory","240
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Fundamentals-Dancers","241
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","255
001","10","3.750","70.0",".",".",".","10.0",".",".",".",".",".",".",".","20.0",".",".","."
"Dance Hist I: Renaissance-50's","001
265","18","3.794","72.2","5.6","16.7",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"African Dance Performance","277
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballroom Dance II","3
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th V","311
001","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","341
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
