"","990
080","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
089","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
092","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","31","",".",".",".",".",".","",".",".","54.8",".",".",".","45.2",".",".",".","."
"B M E
207","Dept. Total","603","3.582","39.0","23.2","12.6","2.3","0.8","",".","0.2","8.1",".","6.1","0.2","7.0","0.2",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","22","3.750","59.1","22.7","18.2",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Junior","","111","3.463","40.5","26.1","22.5","5.4",".","",".",".",".",".","4.5",".",".",".",".","0.9","."
"Senior","","280","3.556","41.8","30.4","12.9","1.1","1.8","",".","0.4",".",".","11.4","0.4",".",".",".",".","."
"Undergraduates","","413","3.542","42.4","28.8","15.7","2.2","1.2","",".","0.2",".",".","9.0","0.2",".",".",".","0.2","."
"Special","","5","3.500","20.0","20.0","20.0",".",".","",".",".","20.0",".","20.0",".",".",".",".",".","."
"Graduate","","226","3.701","26.1","8.8","4.4","2.2",".","",".",".","20.4",".","19.0",".","17.7","0.4",".","0.9","."
"Prof Yr 2","","3","",".",".",".",".",".","",".",".","33.3",".",".",".","66.7",".",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".","",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 4","","2","",".",".",".",".",".","",".",".","50.0",".","50.0",".",".",".",".",".","."
"Professionals","","6","",".",".",".",".",".","",".",".","50.0",".","16.7",".","33.3",".",".",".","."
"","Dept. Total","650","3.582","36.2","21.5","11.7","2.2","0.8","",".","0.2","7.7",".","12.6","0.2","6.5","0.2",".","0.5","."
