"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","",""
"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Institutionalized Persons","862
001","23","",".",".",".",".",".",".",".","78.3",".",".",".",".",".",".",".","21.7"
"State and Local Taxation","868
001","9","1.250","22.2",".",".",".","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"International Trade Law","871
001","35","1.343","22.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Client Counselling","880
001","22","2.091","18.2",".","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","70","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wisconsin Journal of Law","896
001","35","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","79","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","904
001","18","1.059",".",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"","904
002","21","1.095","9.5",".","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","Course Total","39","1.079","5.1",".","28.2",".",".",".",".",".",".",".",".",".",".",".",".","2.6"
"Bioethics and the Law","905
001","41","1.085","14.6",".","12.2",".","2.4",".",".","9.8",".",".",".",".",".",".",".","."
"Probs-Pro Responsblty Smr","907
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Securities Regulation","914
001","40","1.158","12.5",".","20.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","915
001","8","0.429",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"","915
002","28","0.741","7.1",".","14.3",".",".",".","7.1",".",".",".",".",".","3.6",".",".","."
"","004
915","7","1.167","14.3",".","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","915
005","10","1.000","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","Course Total","53","0.769","7.5",".","15.1",".",".",".","3.8","1.9",".",".",".",".","1.9",".","1.9","."
"","918
001","29","2.286","13.8",".","55.2",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"","918
002","6","0.600",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"Problems: Intl Law Seminar","Course Total","35","2.030","11.4",".","48.6",".",".",".",".","2.9",".",".",".",".",".",".",".","2.9"
"Probs-Jurisprudence Seminar","922
001","12","1.167","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems: Tort Law Seminar","926
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems- Land Law Seminar","928
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems of Adm Law-Seminar","001
932","7","1.429","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Family Law-Smr","939
001","8","1.250","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
001","8","1.000","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"","940
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
003","8","0.750",".",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
940","15","1.250","13.3",".",".",".","6.7",".",".","46.7",".",".",".",".",".",".",".","."
"","940
005","36","1.833","36.1",".","8.3",".","5.6","2.8",".",".",".",".",".",".",".",".",".","."
"","940
006","41","1.150","9.8",".","24.4",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","007
940","9","2.929","22.2","11.1","33.3",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"","940
008","10","1.600","20.0",".","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","940
009","16","0.313",".",".","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","940
010","19","2.438","21.1",".","36.8",".","5.3",".",".","5.3",".",".",".",".","10.5",".",".","."
"","940
011","8","1.125",".",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
012","6","1.000",".",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
019","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","187","1.572","18.7","0.5","18.2",".","3.2","0.5",".","5.3",".",".",".",".","2.1",".",".","0.5"
"European Union Law","001
942","7","1.429","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","950
001","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","Page 329 of 403",""
