"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","248","2.877","4.8","19.4","37.1","23.8","14.1","0.4",".","0.4",".",".",".",".",".",".",".","."
"","002
300","216","2.827","4.2","14.4","38.9","27.3","13.9","0.5",".","0.5",".",".",".",".","0.5",".",".","."
"Marketing Management","Course Total","464","2.854","4.5","17.0","37.9","25.4","14.0","0.4",".","0.4",".",".",".",".","0.2",".",".","."
"","305
001","56","3.179","16.1","35.7","26.8","14.3","5.4","1.8",".",".",".",".",".",".",".",".",".","."
"","305
002","53","3.179","17.0","24.5","43.4","7.5","7.5",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","109","3.179","16.5","30.3","34.9","11.0","6.4","0.9",".",".",".",".",".",".",".",".",".","."
"","310
001","52","3.385","26.9","42.3","15.4","11.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"","310
002","48","3.604","37.5","47.9","12.5","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","100","3.490","32.0","45.0","14.0","7.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","335
001","61","3.352","31.1","27.9","24.6","13.1","3.3",".",".",".",".",".",".",".",".",".",".","."
"","335
002","55","3.518","41.8","27.3","25.5","3.6","1.8",".",".",".",".",".",".",".",".",".",".","."
"Brand Management & Strategy","Course Total","116","3.431","36.2","27.6","25.0","8.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","399
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
160","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","2","***","","","","","","","","","","","","","","","",""
"Global Marketing Strategy","420
001","31","3.271","6.5","35.5","48.4",".",".",".",".",".",".",".",".",".","9.7",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","41","3.427","29.3","39.0","24.4","2.4","4.9",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","422
001","24","3.375","29.2","25.0","37.5","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement & Supply Managemnt","423
001","37","3.716","48.6","45.9","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
001","27","3.315","18.5","40.7","29.6","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"","425
002","42","3.321","23.8","40.5","19.0","9.5","7.1",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","69","3.319","21.7","40.6","23.2","8.7","5.8",".",".",".",".",".",".",".",".",".",".","."
"","001
460","33","3.364","21.2","36.4","36.4","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","48","3.375","14.6","52.1","27.1","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","81","3.370","17.3","45.7","30.9","6.2",".",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","001
635","43","3.547","30.2","53.5","11.6","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","23","2.810","8.7","8.7","39.1","8.7","26.1",".",".",".",".",".",".",".","8.7",".",".","."
"","002
640","15","2.893","13.3","20.0","26.7","13.3","13.3","6.7",".","6.7",".",".",".",".",".",".",".","."
"Retail Management","Course Total","38","2.843","10.5","13.2","34.2","10.5","21.1","2.6",".","2.6",".",".",".",".","5.3",".",".","."
"","001
700","48","3.500","33.3","37.5","27.1",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","700
002","46","3.543","32.6","43.5","23.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","47","3.521","25.5","53.2","21.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","141","3.521","30.5","44.7","24.1",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","705
001","43","3.570","25.6","62.8","11.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","14","3.692","50.0","28.6","14.3",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Marketing Channels","725
001","47","3.681","48.9","38.3","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Supply Chain Managemnt","726
001","25","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brand Strategy","001
735","41","3.732","73.2",".","26.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","22","3.614","45.5","31.8","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
765","36","3.597","58.3","22.2","5.6","8.3","5.6",".",".",".",".",".",".",".",".",".",".","."
"","004
765","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 60 of 403"
