"","CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","29","4.000","96.6",".",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Process Synthesis","250","002","","56","2.929","19.6","21.4","17.9","17.9","17.9","5.4",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255","001","","58","2.966","22.4","15.5","32.8","5.2","19.0","3.4","1.7",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","54","2.769","3.7","20.4","33.3","18.5","20.4","3.7",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","43","2.953","16.3","14.0","34.9","14.0","20.9",".",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","60","2.967","25.0","16.7","21.7","16.7","15.0","1.7","3.3",".",".",".",".",".",".",".",".","."
"","324","001","","15","3.400","26.7","40.0","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","324","002","","15","3.333","26.7","33.3","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","14","3.286","21.4","28.6","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","44","3.341","25.0","34.1","27.3","11.4","2.3",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","35","2.900","17.1","20.0","25.7","5.7","28.6","2.9",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","48","3.073","27.1","16.7","22.9","10.4","22.9",".",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","47","3.230","19.1","17.0","27.7","10.6","4.3",".",".",".",".",".",".",".","21.3",".",".","."
"Process Design","450","001","","46","3.141","17.4","23.9","39.1","8.7","10.9",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","46","3.163","15.2","28.3","34.8","17.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"","489","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Intro to Tissue Engineering","510","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Biology in Engineering Seminar","517","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Macromolecular Hydrodynamics","525","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","540","001","","48","3.188","33.3","6.3","39.6","10.4","8.3","2.1",".",".",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560","001","","19","3.447","36.8","26.3","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","562","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","004","","16","3.904","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","36","3.950","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology","567","001","","10","3.250","20.0","30.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","599","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Special Problems","","Course Total","","26","4.000","88.5",".",".",".",".",".",".",".",".",".",".",".","3.8","3.8","3.8","."
"Intmed Problems in ChE","660","001","","20","3.350","25.0","35.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","","Page 106 of 403",""
