"","990
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
036","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
037","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","49","",".",".",".",".",".",".",".","53.1","2.0",".",".","44.9",".",".",".","."
"ATM OCN
640","Dept. Total","537","3.020","26.3","10.8","21.0","15.5","7.8","3.9","0.4","5.8","0.2","0.6",".","5.4","0.6",".","1.7","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","",""
"Freshmen","","43","2.944","25.6","4.7","32.6","20.9","11.6","4.7",".",".",".",".",".",".",".",".",".","."
"Sophomore","","104","2.744","13.5","5.8","29.8","31.7","11.5","5.8","1.0",".",".","1.0",".",".",".",".",".","."
"Junior","","87","2.782","12.6","8.0","34.5","24.1","11.5","6.9",".",".",".","1.1",".",".",".",".",".","1.1"
"Senior","","115","2.930","18.3","14.8","22.6","15.7","11.3","6.1",".","0.9",".","0.9",".","6.1",".",".","3.5","."
"Undergraduates","","349","2.835","16.3","9.2","28.9","23.2","11.5","6.0","0.3","0.3",".","0.9",".","2.0",".",".","1.1","0.3"
"Special","","19","3.048","26.3","5.3","10.5","5.3","5.3",".",".","15.8",".",".",".",".","5.3",".","26.3","."
"Graduate","","169","3.711","46.7","14.8","5.9","0.6","0.6",".","0.6","16.0","0.6",".",".","13.0","1.2",".",".","."
"","Dept. Total","537","3.020","26.3","10.8","21.0","15.5","7.8","3.9","0.4","5.8","0.2","0.6",".","5.4","0.6",".","1.7","0.2"
