"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","",""
"Contemp Iss-Engr Profession","101
001","194","3.420","31.4","44.8","12.9","4.1","4.1","2.1","0.5",".",".",".",".",".",".",".",".","."
"Intro-Society's Egr Challenges","102
001","150","3.357","38.0","20.0","25.3","11.3","4.7",".","0.7",".",".",".",".",".",".",".",".","."
"Core Comp for Engr Leaders","103
001","33","3.727","69.7","15.2","9.1","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"","160
001","179","3.603","48.6","29.6","17.9","2.8","0.6","0.6",".",".",".",".",".",".",".",".",".","."
"","160
002","182","3.718","58.8","29.7","7.7","2.2","1.1",".",".",".",".",".",".",".",".",".",".","0.5"
"Intro to Engineering Design","Course Total","361","3.661","53.7","29.6","12.7","2.5","0.8","0.3",".",".",".",".",".",".",".",".",".","0.3"
"","001
301","13","3.950","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr & Biology: Tech Symbiosis","Course Total","15","3.958","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Issues in Intl Engr","413
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
601","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","33","3.636","69.7","12.1","6.1","6.1","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"","601
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Interdis Engineering","Course Total","61","3.685","72.1","13.1","6.6","4.9","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"INTEREGR
496","Dept. Total","833","3.577","49.3","28.6","14.0","4.6","2.4","0.7","0.2",".",".",".",".",".",".",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","",""
"Freshmen","","499","3.571","44.5","33.1","14.6","4.8","2.0","0.6","0.2",".",".",".",".",".",".",".",".","0.2"
"Sophomore","","303","3.559","59.7","20.5","12.9","3.0","2.3","0.7","0.3",".",".",".",".",".",".","0.7",".","."
"Junior","","108","3.556","88.0","3.7","0.9","4.6","1.9",".",".",".",".",".",".",".",".","0.9",".","."
"Senior","","76","3.747","84.2","7.9","3.9","1.3","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","986","3.574","57.0","24.0","11.8","4.0","2.0","0.6","0.2",".",".",".",".",".",".","0.3",".","0.1"
"Special","","4","3.917","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","7","3.800","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","997","3.577","57.3","23.9","11.7","3.9","2.0","0.6","0.2",".",".",".",".",".",".","0.3",".","0.1"
