"BUS","","","","","","","","","","","","","","","","","","",""
"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","141","3.170","18.4","29.1","31.2","12.1","8.5","0.7",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","312
001","44","3.284","29.5","18.2","34.1","15.9","2.3",".",".",".",".",".",".",".",".",".",".","."
"","365
001","6","3.676","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","11","3.750","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410
001","24","3.087","25.0","20.8","25.0","12.5","8.3",".","4.2",".",".",".",".",".","4.2",".",".","."
"","002
410","24","3.500","29.2","41.7","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","48","3.298","27.1","31.3","27.1","6.3","4.2",".","2.1",".",".",".",".",".","2.1",".",".","."
"Valuation of Real Estate","001
415","31","3.435","32.3","32.3","25.8","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","28","3.643","53.6","21.4","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","430
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","001
611","19","3.361","26.3","26.3","36.8",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Housing Economics & Policy","641
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Finance","710
001","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","12","3.583","58.3","16.7","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","765
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Real Estate Finance","770
001","11","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
142","4","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","990
142","1","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","391","3.357","33.2","26.6","26.9","7.7","4.3","0.3","0.3","0.3",".",".",".","0.3","0.3",".",".","."
