"COMPUTER SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"Intro-Progm Langs&Compilers","536","001","","40","3.188","40.0","17.5","12.5","10.0","17.5",".","2.5",".",".",".",".",".",".",".",".","."
"","537","001","","49","3.080","38.8","16.3","10.2","10.2","16.3","6.1",".",".",".",".",".",".","2.0",".",".","."
"","537","002","","55","2.700","20.0","18.2","25.5","10.9","9.1","5.5","10.9",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","","Course Total","","104","2.872","28.8","17.3","18.3","10.6","12.5","5.8","5.8",".",".",".",".",".","1.0",".",".","."
"","540","001","","64","3.023","25.0","18.8","12.5","29.7","10.9","3.1",".",".",".",".",".",".",".",".",".","."
"","540","002","","60","3.345","26.7","33.3","23.3","6.7","6.7",".",".",".",".",".",".",".",".",".","3.3","."
"Intro-Artificl Intelligence","","Course Total","","124","3.176","25.8","25.8","17.7","18.5","8.9","1.6",".",".",".",".",".",".",".",".","1.6","."
"Natural Lang & Computing","545","001","","26","3.635","50.0","26.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552","001","","12","2.400",".","8.3","25.0","8.3","33.3","8.3",".",".",".",".",".",".","16.7",".",".","."
"Computer Graphics","559","001","","45","3.058","17.8","37.8","17.8","8.9","6.7",".","6.7","4.4",".",".",".",".",".",".",".","."
"Database Mgt Systems","564","001","","79","3.558","40.5","38.0","17.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Bioinformatics","576","001","","23","3.130","30.4","17.4","17.4","26.1","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","577","001","","51","3.080","21.6","11.8","43.1","11.8","5.9","3.9",".","2.0",".",".",".",".",".",".",".","."
"","577","002","","55","2.955","30.9","12.7","23.6","10.9","12.7","3.6","5.5",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","","Course Total","","106","3.014","26.4","12.3","33.0","11.3","9.4","3.8","2.8","0.9",".",".",".",".",".",".",".","."
"Contest-Level Programming","578","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","638","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","638","003","","42","3.575","38.1","42.9","4.8","9.5",".",".",".",".",".",".",".",".","4.8",".",".","."
"Undergrad Topics-Computing","","Course Total","","43","3.573","37.2","44.2","4.7","9.3",".",".",".",".",".",".",".",".","4.7",".",".","."
"Intro to Computer Networks","640","001","","58","3.250","34.5","24.1","19.0","3.4","12.1","1.7","1.7",".",".",".",".",".",".","3.4",".","."
"Intro to Information Security","642","001","","42","3.274","40.5","28.6","7.1","7.1","11.9","2.4","2.4",".",".",".",".",".",".",".",".","."
"Computer Game Technology","679","001","","20","3.625","55.0","20.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","6","3.750","33.3","33.3",".",".",".",".",".","16.7",".",".",".",".","16.7",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","20","3.872","75.0","10.0","5.0",".",".",".",".","5.0",".",".",".",".","5.0",".",".","."
"Construction of Compilers","701","001","","20","3.500","40.0","30.0","15.0","5.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Analysis of Software Artifacts","706","001","","25","3.580","40.0","44.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mobile and Wireless Networking","707","001","","15","3.700","73.3","6.7","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Computational Complexity","710","001","","16","3.750","62.5","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonlinear Optimization I","726","001","","35","3.603","60.0","11.4","17.1","2.9","5.7",".",".",".",".",".",".",".",".",".","2.9","."
"Convex Analysis","727","001","","9","3.333","66.7",".","22.2",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Comput Meths-Lg Sparse Sys","733","001","","19","3.500","26.3","31.6","15.8","5.3",".",".",".","21.1",".",".",".",".",".",".",".","."
"Advanced Operating Systems","736","001","","21","3.762","57.1","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
