"","999
006","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
008","3","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
010","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","8","4.000","62.5",".",".",".",".","",".",".","12.5","",".",".","",".",".","25.0",".",".","."
"RP & SE
194","Dept. Total","881","3.845","72.5","15.0","4.1","0.8","0.5","",".","0.3","3.1","",".",".","",".","2.2","1.4",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","60","3.883","78.3","20.0","1.7",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","87","3.730","65.5","25.3","5.7","1.1","1.1","",".","1.1",".","",".",".","",".",".",".",".",".","."
"Junior","","215","3.834","76.7","16.7","4.7","0.5","0.9","",".",".",".","",".",".","",".",".","0.5",".",".","."
"Senior","","260","3.868","78.5","14.2","5.0","1.2","0.4","",".",".",".","",".",".","",".",".","0.4",".","0.4","."
"Undergraduates","","622","3.840","76.0","17.2","4.7","0.8","0.6","",".","0.2",".","",".",".","",".",".","0.3",".","0.2","."
"Special","","5","3.750","60.0",".","20.0",".",".","",".",".","20.0","",".",".","",".",".",".",".",".","."
"Graduate","","256","3.862","63.7","9.8","2.3","0.8",".","",".","0.8","10.2","",".","0.8","",".","7.4","3.9",".","0.4","."
"","Dept. Total","883","3.845","72.4","14.9","4.1","0.8","0.5","",".","0.3","3.1","",".","0.2","",".","2.2","1.4",".","0.2","."
