"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","","41","3.359","34.1","34.1","17.1","4.9",".",".","4.9",".",".",".",".",".","2.4",".","2.4","."
"19&20 C Russian Lit Tran I","203","001","","66","3.606","54.5","25.8","10.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Lits of Cent Asia in Translatn","214","001","","24","3.341","37.5","20.8","20.8","8.3",".",".","4.2",".",".",".",".",".",".","8.3",".","."
"V Nabokov: Russ&Amer Writng","223","001","","19","3.105","26.3","21.1","31.6","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Tolstoy in Translation","224","001","","24","3.196","41.7","4.2","20.8","8.3","20.8",".",".","4.2",".",".",".",".",".",".",".","."
"","226","001","","15","3.321","33.3","33.3","6.7",".","20.0",".",".",".",".",".",".",".",".","6.7",".","."
"","226","002","","17","3.618","47.1","29.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Luso-Afro-Brazilian Lit","","Course Total","","32","3.484","40.6","31.3","15.6",".","9.4",".",".",".",".",".",".",".",".","3.1",".","."
"Intro to Biblical Lit","227","001","","27","3.365","37.0","18.5","33.3",".","3.7","3.7",".","3.7",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","233","001","","28","3.576","50.0","17.9","21.4","7.1",".",".",".",".",".",".",".",".",".","3.6",".","."
"The World of Sagas","235","001","","19","3.781","47.4","36.8",".",".",".",".",".",".",".",".",".",".","15.8",".",".","."
"Soviet Lit in Translation","240","001","","37","3.806","56.8","21.6","5.4",".",".",".",".","2.7",".",".",".",".","13.5",".",".","."
"Topics-Slavic Lit in Translatn","247","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Lits of Muslim Societies-Trans","257","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Italy & Invention of America","260","001","","49","3.615","44.9","32.7","18.4","2.0",".",".",".","2.0",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261","001","","30","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263","001","","12","3.000","8.3","50.0","8.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","271","001","","49","3.104","10.2","34.7","28.6","14.3","10.2",".",".",".",".",".",".",".",".",".","2.0","."
"","271","002","","41","3.427","22.0","58.5","14.6","2.4",".",".","2.4",".",".",".",".",".",".",".",".","."
"Scand LitTran:Mid Ages-1900","","Course Total","","90","3.276","15.6","45.6","22.2","8.9","5.6",".","1.1",".",".",".",".",".",".",".","1.1","."
"","275","001","","146","3.148","17.8","37.7","26.0","5.5","8.2","1.4","2.7","0.7",".",".",".",".",".",".",".","."
"","275","002","","66","3.500","33.3","54.5","4.5","3.0","1.5","1.5","1.5",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","","212","3.281","22.6","42.9","19.3","4.7","6.1","1.4","2.4","0.5",".",".",".",".",".",".",".","."
"Mod Indonesian Lit in Tran","301","001","","11","2.955","36.4","9.1","36.4",".",".","9.1","9.1",".",".",".",".",".",".",".",".","."
"SE Asian Lit in Translation","303","001","","27","3.096","18.5","22.2","37.0","11.1","3.7",".","3.7","3.7",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326","001","","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Drama-A Strindberg","336","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Kierkegaard&Scand Lit/Trans","339","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Japanese Fiction","368","001","","15","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Japanese Lit","373","001","","40","3.375","32.5","32.5","25.0","7.5",".",".","2.5",".",".",".",".",".",".",".",".","."
"Topics in Korean Literature","374","001","","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","410","001","","15","3.267","13.3","33.3","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Polish Lit(Tran) since 1863","473","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
