"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","467
001","","15","3.267","20.0","26.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","467
002","","15","3.467","20.0","60.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound","Course Total","","30","3.367","20.0","43.3","26.7","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Political Discourse","001
470","","44","3.244","27.3","40.9","18.2","2.3",".","4.5","4.5",".",".",".",".",".","2.3",".",".","."
"Rhetoric and Technology","472
001","","42","3.561","38.1","42.9","9.5","4.8","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"Nature of Criticism","476
001","","23","3.630","60.9","21.7","13.0",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"Digital Media & Political Comm","509
001","","14","3.500","35.7","42.9","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Digitally Doc Everyday Comm","522
001","","15","3.133","20.0","46.7","13.3","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Media, Deliberatn & Public Iss","525
001","","18","3.194","22.2","27.8","27.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Television Genres","540
001","","23","3.391","26.1","34.8","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"American Cinema Since 1970","001
552","","60","3.058","26.7","25.0","15.0","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Am Film Inds-Studio Sys Era","556
001","","13","3.375","30.8","23.1","23.1","15.4",".",".",".","7.7",".",".",".",".",".",".",".","."
"Communictn&Interethnc Behav","565
001","","38","3.408","34.2","26.3","26.3","13.2",".",".",".",".",".",".",".",".",".",".",".","."
"Communicatn in Complex Orgs","575
001","","19","3.447","36.8","21.1","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamics of Online Relatnshps","577
001","","22","3.071","18.2","18.2","31.8","13.6","13.6",".",".","4.5",".",".",".",".",".",".",".","."
"","608
001","","18","3.500","44.4","38.9","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"","002
608","","15","3.533","53.3","20.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Spec Tpcs:Media & Cultural St","Course Total","","33","3.515","48.5","30.3","9.1","6.1","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"","609
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","609
002","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Production","Course Total","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610
001","","21","3.548","42.9","33.3","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","002
610","","17","3.800","52.9","35.3",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"Topics-Rhetoric&Pub Address","Course Total","","38","3.653","47.4","34.2","10.5",".","2.6",".",".",".",".",".",".",".","5.3",".",".","."
"","001
613","","7","3.583","42.9","28.6",".","14.3",".",".",".",".",".",".",".",".","14.3",".",".","."
"","613
002","","17","3.375","29.4","23.5","29.4","11.8",".",".",".",".",".",".",".",".","5.9",".",".","."
"Special Topics in Film","Course Total","","24","3.432","33.3","25.0","20.8","12.5",".",".",".",".",".",".",".",".","8.3",".",".","."
"","614
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
