"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Pract in World Lang (K-12)","243
001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Videogames & Learning","277
001","","86","3.582","57.0","26.7","7.0","2.3","2.3","1.2","2.3",".",".",".",".",".","1.2",".",".","."
"Practicum-Secondary Sci Ed","290
001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practm-Secondry Sch English","296
001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","305
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
305","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","Course Total","","42","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Read&Write Across Content Area","309
001","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art and Design in Teaching","Course Total","","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Artistic Lives of Children","328
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Choral Music-Sec Schl","332
001","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Gen Music-Elem School","333
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Instrum Music-Elem","335
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","337
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","Course Total","","20","3.850","95.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Teaching World Languages (K-8)","342
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching World Languages(6-12)","343
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
001","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
002","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Music","Course Total","","49","3.980","95.9","4.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract: Soc Studies-Sec Schl","358
001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practicum in Math-Sec Schl","361
001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","362
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
362","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Education","Course Total","","38","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac-Early Chldhd Ed-Kinder","363
001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Introduction to Education","364
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Teaching Practicum II","367
001","","48","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","368
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
002","","24","3.833","70.8","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Reading","Course Total","","48","3.917","85.4","12.5","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
001","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
002","","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Language Arts","Course Total","","48","3.958","93.8","4.2","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
