"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","71","3.359","28.2","35.2","25.4","5.6","4.2","1.4",".",".",".",".",".",".",".",".",".","."
"","002
101","77","2.903","9.1","23.4","31.2","22.1","9.1","5.2",".",".",".",".",".",".",".",".",".","."
"","101
004","84","3.655","50.0","35.7","10.7","2.4","1.2",".",".",".",".",".",".",".",".",".",".","."
"","101
005","73","3.007","15.1","23.3","32.9","16.4","9.6",".","2.7",".",".",".",".",".",".",".",".","."
"","101
006","85","2.835","7.1","25.9","32.9","16.5","9.4","5.9","2.4",".",".",".",".",".",".",".",".","."
"","007
101","76","3.046","10.5","35.5","31.6","10.5","7.9","1.3","2.6",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","466","3.135","20.2","29.8","27.3","12.2","6.9","2.4","1.3",".",".",".",".",".",".",".",".","."
"Spec Topics:Philos-Freshmen","001
104","21","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","79","3.044","29.1","19.0","17.7","17.7","10.1","3.8","2.5",".",".",".",".",".",".",".",".","."
"","210
002","77","3.455","50.6","27.3","6.5","9.1","1.3","2.6","2.6",".",".",".",".",".",".",".",".","."
"","003
210","21","3.643","61.9","9.5","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","177","3.294","42.4","21.5","13.6","12.4","5.1","2.8","2.3",".",".",".",".",".",".",".",".","."
"","001
211","79","3.199","44.3","17.7","11.4","8.9","7.6","5.1","3.8",".",".",".",".",".","1.3",".",".","."
"","211
002","72","3.410","41.7","31.9","13.9","5.6","2.8","1.4","2.8",".",".",".",".",".",".",".",".","."
"","003
211","75","3.373","41.3","18.7","25.3","8.0","4.0","2.7",".",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","226","3.324","42.5","22.6","16.8","7.5","4.9","3.1","2.2",".",".",".",".",".","0.4",".",".","."
"","241
001","74","3.372","36.5","14.9","39.2","5.4","4.1",".",".",".",".",".",".",".",".",".",".","."
"","241
002","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
241","77","3.416","39.0","24.7","23.4","9.1","2.6","1.3",".",".",".",".",".",".",".",".",".","."
"","241
004","71","3.197","31.0","36.6","9.9","5.6","8.5","7.0","1.4",".",".",".",".",".",".",".",".","."
"","241
005","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","251","3.387","39.8","25.5","21.5","6.0","4.4","2.4","0.4",".",".",".",".",".",".",".",".","."
"","341
001","83","3.372","31.3","34.9","20.5","4.8","4.8","2.4",".",".",".",".",".",".",".",".","1.2","."
"","341
002","73","3.271","26.0","32.9","23.3","9.6","4.1","1.4","1.4",".",".",".",".",".",".",".","1.4","."
"","003
341","75","3.412","21.3","41.3","33.3","2.7",".",".",".","1.3",".",".",".",".",".",".",".","."
"","341
004","75","3.527","44.0","33.3","13.3","8.0",".",".","1.3",".",".",".",".",".",".",".",".","."
"","341
091","20","3.725","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
092","18","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","093
341","18","3.528","38.9","27.8","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","362","3.426","31.8","36.7","22.1","5.2","1.9","0.8","0.6","0.3",".",".",".",".",".",".","0.6","."
"Hist of Ancient Philosophy","430
001","73","3.196","27.4","23.3","24.7","12.3","6.8","1.4","1.4",".",".",".",".",".","2.7",".",".","."
"History-Modern Philosophy","432
001","44","3.352","50.0","25.0","6.8","4.5","6.8","2.3","4.5",".",".",".",".",".",".",".",".","."
"Jewish Philos:Antiquity-17c","435
001","14","3.308","7.1","50.0","28.6","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","40","3.063","10.0","37.5","37.5","5.0","2.5","5.0","2.5",".",".",".",".",".",".",".",".","."
"Classical Philosophers","454
001","20","3.222","20.0","35.0","25.0","5.0",".",".","5.0",".",".",".",".",".","5.0","5.0",".","."
"Junior Honors Seminar","481
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Justice and Health Care","505
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Language and Meaning","516
001","27","3.519","40.7","37.0","14.8",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"Philos of Natural Sciences","520
001","19","3.421","21.1","47.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Philos of Social Sciences","001
521","17","3.265","35.3","11.8","23.5","29.4",".",".",".",".",".",".",".",".",".",".",".","."
"","543
001","21","3.575","47.6","14.3","33.3",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","543
002","11","3.556","36.4","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".","18.2","."
