"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"215
Intro to Agr & Applied Econ","001","","81","3.156","29.6","14.8","34.6","8.6","6.2","3.7","1.2",".",".",".",".",".",".","1.2",".","."
"299
Independent Study","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","29","2.724","13.8","13.8","31.0","13.8","17.2","6.9","3.4",".",".",".",".",".",".",".",".","."
"319
The Internatl Ag Economy","001","","20","2.850","15.0","30.0","25.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"323
Cooperatives","001","","28","3.232","21.4","25.0","39.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"343
Environmental Economics","001","","37","2.781","16.2","18.9","21.6","24.3","8.1","5.4","5.4",".",".",".",".",".",".",".",".","."
"374
Growth&Develpmt Global Econ","001","","22","3.182","31.8","31.8","13.6","4.5","13.6",".","4.5",".",".",".",".",".",".",".",".","."
"399","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","093","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","11","3.897","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"419
Agricultural Finance","001","","37","3.689","59.5","24.3","10.8","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"473
Econ Grwth&Devlpmnt-SE Asia","001","","6","2.800","33.3","16.7",".","16.7",".",".","16.7",".",".",".",".",".","16.7",".",".","."
"477
Agri & Econ Development-Africa","001","","14","3.500","57.1","14.3","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"526
Quant Mthds-Ag & Appl Econ","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"575","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"575","003","","7","3.250",".","42.9","42.9",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","12","3.545","33.3","33.3","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"635
Applied Microeconomic Thry","001","","18","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"636
Applied Econometric Anal I","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"671
Energy Economics","001","","8","3.429","25.0","50.0",".",".","12.5",".",".",".",".",".",".",".","12.5",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","3.600","50.0",".","33.3",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"729
Microdynamics-Envir&Developmt","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"762
Environmental Economics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Pract:Ag&Appl Econ Teaching","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"881
Benefit-Cost Analysis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","","Page 1 of 403"
