"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"813","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"813","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"813","003","","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","004","","12","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","005","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","006","","8","3.375","37.5",".","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","008","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiology Clerkship","Course Total","","53","3.519","39.6","24.5","35.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","5","***","","","","","","","","","","","","","","","",""
"920","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","10","3.938","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
Clin Nuclr Med Clerk-CSC/VA","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924
Gen Radiol Clerk-St Lukes","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"RADIOL
832","Dept. Total","","70","3.677","51.4","21.4","27.1",".",".",".",".",".",".",".",".",".",".",".",".","."
