"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"","990
116","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","68","",".",".",".",".",".",".",".","60.3",".",".",".","39.7","",".",".",".","."
"GENETICS
412","Dept. Total","582","3.124","32.3","10.8","21.3","7.9","12.2","2.4","0.2","7.9",".",".",".","4.8","",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","3.413","50.0",".","37.5","12.5",".",".",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","38","3.018","36.8","7.9","21.1","7.9","21.1","5.3",".",".",".",".",".",".","",".",".",".","."
"Junior","","141","3.084","37.6","9.2","22.0","12.1","16.3","2.1","0.7",".",".",".",".",".","",".",".",".","."
"Senior","","208","3.067","35.1","9.6","25.0","9.1","16.8","3.4",".","0.5",".",".",".","0.5","",".",".",".","."
"Undergraduates","","395","3.075","36.5","9.1","23.8","10.1","16.7","3.0","0.3","0.3",".",".",".","0.3","",".",".",".","."
"Special","","39","3.102","30.8","20.5","25.6","7.7","7.7","2.6",".","5.1",".",".",".",".","",".",".",".","."
"Graduate","","147","3.414","21.8","12.2","13.6","2.0","1.4","0.7",".","29.3",".",".",".","18.4","",".",".","0.7","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","582","3.124","32.3","10.8","21.3","7.9","12.2","2.4","0.2","7.9",".",".",".","4.8","",".",".","0.2","."
