"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"101
Orientation to Wildlfe Ecology","001","","34","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","17","3.968","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"309
Disease-Landscp Trees&Shrub","001","","11","3.409","36.4","27.3","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"318
Principles-Wildlife Ecology","001","","42","2.869","26.2","14.3","21.4","11.9","14.3","9.5","2.4",".",".",".",".",".",".",".",".","."
"360
Extinction of Species","001","","75","2.940","8.0","22.7","40.0","13.3","13.3","2.7",".",".",".",".",".",".",".",".",".","."
"375","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","19","3.526","31.6","42.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","006","","20","3.500","40.0","25.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"375","007","","17","3.469","23.5","41.2","29.4",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"375","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","73","3.575","46.6","28.8","21.9","1.4",".",".",".",".",".",".",".",".",".",".","1.4","."
"399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","12","3.933","75.0",".",".",".","8.3",".",".",".",".",".",".",".","16.7",".",".","."
"401
Physiologicl Animal Ecology","001","","53","3.048","18.9","28.3","15.1","18.9","15.1","1.9",".",".",".",".",".",".","1.9",".",".","."
"402
Dendrology","001","","26","3.558","46.2","26.9","23.1",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"415
Tree Physiology","001","","23","3.674","65.2","13.0","17.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"455
The Vegetation of Wisconsin","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"460
General Ecology","001","","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"548
Diseases of Wildlife","001","","69","3.145","31.9","15.9","23.2","13.0","14.5",".","1.4",".",".",".",".",".",".",".",".","."
"550
Forest Ecology","001","","90","3.717","65.6","15.6","12.2","3.3","2.2",".",".","1.1",".",".",".",".",".",".",".","."
"561
Wildlife Management Tech","001","","29","3.276","31.0","24.1","34.5","3.4","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"571","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"571","002","","10","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","20","3.625","40.0","45.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"590
Integrated Resource Mgmt","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","","Page 23 of 403"
