"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ Program","Course Total","","2","***","","","","","","","","","","","","","","","",""
"201
Land Surveying Fundamentals","001","","41","3.134","17.1","31.7","24.4","19.5","4.9","2.4",".",".",".",".",".",".",".",".",".","."
"249
Engr Principles-Biol Systms","001","","60","3.158","28.3","16.7","30.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"351
Struct Design-Ag Facilities","001","","15","2.929","6.7","26.7","33.3","13.3","6.7","6.7",".",".",".",".",".",".",".","6.7",".","."
"364
Engr Prop-Food & Biol Matls","001","","35","3.300","25.7","37.1","20.0","5.7","11.4",".",".",".",".",".",".",".",".",".",".","."
"367
Renewable Energy Systems","001","","49","3.115","22.4","22.4","34.7","8.2","4.1","4.1","2.0","2.0",".",".",".",".",".",".",".","."
"372
On-Site Waste Water Treatment","001","","23","3.000","13.0","26.1","17.4","34.8","8.7",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"409
Career Management-Engineers","001","","49","",".",".",".",".",".",".",".",".",".","98.0",".",".",".","2.0",".","."
"460
Biorefining: Energy & Products","001","","19","3.265","15.8","31.6","26.3","15.8",".",".",".","10.5",".",".",".",".",".",".",".","."
"472
Sedmnt & Bio-Nutr Engr&Mgmt","001","","15","3.300","20.0","33.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"475
Engr Principles-Ag Machinery","001","","14","3.000","14.3","21.4","42.9","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"491
Legal Aspects-Engineering","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"509
Biol Sys Eng Dsgn Practicum II","001","","41","3.310","24.4","17.1","12.2","12.2","4.9",".",".",".",".",".",".",".","29.3",".",".","."
"699
Special Problems","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Ag Engr Teaching","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875","001","","7","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"875","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","17","4.000","58.8",".",".",".",".",".",".",".",".",".",".",".",".",".","41.2","."
"900
Seminar","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","6","",".",".",".",".",".",".",".",".","33.3",".",".","66.7",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","34","",".",".",".",".",".",".",".","35.3","5.9",".",".","58.8",".",".",".","."
