"DANCE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"355
Dance Composition II","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","8","3.833","50.0","25.0",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"451
Dance Repertory Theater","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"462
Senior Seminar","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Interdis Studies in the Arts","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"560","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"560","002","","39","3.441","38.5","25.6","15.4",".","5.1",".","2.6","10.3",".",".",".",".","2.6",".",".","."
"560","003","","15","3.708","46.7","20.0","13.3",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"560","004","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"560","005","","7","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"560","006","","32","3.953","90.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Dance:Wkshp","Course Total","","133","3.797","71.4","12.0","6.8",".","1.5",".","0.8","6.8",".",".",".",".","0.8",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","12","3.875","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
