"L&S","","","","","","","","","","","","","","","","","","","","",""
"","FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","",""
"Intermed Language & Culture","","Course Total","","60","3.709","56.7","35.0","3.3","3.3","1.7",".",".",".",".",".",".",".",".",".",".","."
"Ethnic St-Fr/Francophone Wrlds","248","001","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271","001","","22","3.603","54.5","22.7","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","271","002","","9","3.281","11.1","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","271","004","","22","3.350","13.6","40.9","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","","Course Total","","53","3.438","30.2","34.0","30.2","3.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"Practical French Converstn","301","001","","43","3.930","90.7","4.7","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311","001","","14","3.393","35.7","28.6","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","311","002","","23","3.696","43.5","52.2","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Composition & Conversation","","Course Total","","37","3.581","40.5","43.2","8.1","8.1",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","313","001","","20","3.375","50.0","30.0","5.0","5.0",".","5.0","5.0",".",".",".",".",".",".",".",".","."
"","321","001","","14","3.464","35.7","35.7","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","20","3.425","45.0","30.0","15.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","","Course Total","","34","3.441","41.2","32.4","14.7","8.8",".",".","2.9",".",".",".",".",".",".",".",".","."
"","322","001","","13","3.538","30.8","53.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","322","002","","9","3.611","55.6","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Lit of Modernity","","Course Total","","22","3.568","40.9","45.5","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","347","001","","25","3.340","52.0","12.0","24.0",".","4.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"Modernity Studies","348","001","","20","3.474","40.0","25.0","20.0","5.0","5.0",".",".",".",".",".",".",".","5.0",".",".","."
"Applied French Lang Studies","350","001","","10","4.000","80.0",".",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"French-Reading Knowledge","391","001","","21","3.833","76.2","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings in 20th & 21st C. Lit","433","001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"French/Francophone Cultrl Stdy","462","001","","16","3.633","50.0","25.0","12.5","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"French/Francophone Film","465","001","","10","3.250","30.0","50.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Adv Intdis Stdy-Medvl Civ","550","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grammaire avancee","615","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Approach to French Lit","626","001","","8","3.000",".","50.0","37.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Lit Francaise-XVIIIe Siecle","631","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Francaise-XVIe Siecle","646","001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Prof French Masters Prg Intern","793","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","024","","26","3.931","92.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","","Course Total","","29","3.915","89.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Teaching of French","820","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Materials&Methods-Rsch","901","001","","10","3.778","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Smr: Questions-Litterature","948","001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","","Page 212 of 403",""
