"Research and Thesis","Course Total","12","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"","999
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"DS
359","Dept. Total","661","3.511","46.3","21.6","20.7","4.2","2.4","0.3","0.8","2.3",".",".",".","0.3","1.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","55","3.333","36.4","23.6","20.0","12.7","7.3",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","128","3.598","50.0","22.7","25.0","1.6",".",".",".",".",".",".",".",".","0.8",".",".","."
"Junior","","176","3.474","43.8","22.7","25.0","5.7","2.3",".","0.6",".",".",".",".",".",".",".",".","."
"Senior","","242","3.562","47.9","22.3","20.7","3.7","2.9",".",".","0.4",".",".",".",".","2.1",".",".","."
"Undergraduates","","601","3.522","46.1","22.6","22.8","4.7","2.5",".","0.2","0.2",".",".",".",".","1.0",".",".","."
"Special","","17","3.330","52.9","17.6",".",".",".",".","11.8","17.6",".",".",".",".",".",".",".","."
"Graduate","","42","3.384","47.6","9.5",".",".","2.4","4.8","4.8","23.8",".",".",".","4.8","2.4",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","Dept. Total","661","3.511","46.3","21.6","20.7","4.2","2.4","0.3","0.8","2.3",".",".",".","0.3","1.1",".",".","."
