"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"330
Thermodynamics of Materials","001","","35","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"332
Macroprocessing-Materials","001","","24","3.271","25.0","29.2","25.0","16.7","4.2",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","160","3.440","40.6","18.8","31.9","3.8","4.4",".",".",".",".",".",".",".",".","0.6",".","."
"351
Struct&Property Rels-Solids","001","","45","3.102","11.1","17.8","57.8","6.7","2.2","2.2",".","2.2",".",".",".",".",".",".",".","."
"360","003","","11","3.350","18.2","27.3","45.5",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"360","004","","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"360","005","","10","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory I","Course Total","","32","3.435","31.3","28.1","31.3","6.3",".",".",".",".",".",".",".",".","3.1",".",".","."
"362
Materials Laboratory III","001","","21","3.524","23.8","57.1","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"423
Nuclear Engr Materials","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"434
Intro Thin-Film Deposition","001","","25","3.560","44.0","28.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"441
Deformation of Solids","001","","26","3.313","34.6","19.2","26.9",".","7.7","3.8",".",".",".",".",".",".","7.7",".",".","."
"448
Crystallog & Xray Diffractn","001","","17","3.676","58.8","29.4","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"451
Intro to Ceramic Materials","001","","26","3.538","34.6","42.3","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"456
Elec,Opt&Mag Prop of Materials","001","","25","3.360","28.0","24.0","40.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"470
Capstone Project I","001","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"541
Heterogeneous&Multiphase Mtrls","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Fundamentls-Atomistic Modeling","001","","22","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","3.857","69.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"756
Advanced Electronic Materials","001","","20","3.825","75.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","32","",".",".",".",".",".",".",".","65.6","3.1",".",".","31.3",".",".",".","."
"803","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 135 of 403",""
