"","990
230","3","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
235","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
289","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","16","",".",".",".",".","",".","",".","",".","56.3",".",".",".","31.3",".",".","12.5","."
"MEDICINE
632","Dept. Total","251","3.780","67.3","17.5","6.8",".","",".","",".","",".","3.6",".",".",".","2.0","0.4",".","1.2","1.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","14","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","16","4.000","93.8",".",".",".","",".","",".","",".",".",".",".",".",".",".",".","6.3","."
"Senior","","42","3.921","92.9",".","7.1",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","72","3.952","94.4",".","4.2",".","",".","",".","",".",".",".",".",".",".",".",".","1.4","."
"Special","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Graduate","","18","3.500","5.6",".","5.6",".","",".","",".","",".","50.0",".",".",".","27.8",".",".","11.1","."
"Prof Yr 3","","29","3.448","20.7","41.4","27.6",".","",".","",".","",".",".",".",".",".",".",".",".",".","10.3"
"Prof Yr 4","","131","3.844","71.0","24.4","3.8",".","",".","",".","",".",".",".",".",".",".","0.8",".",".","."
"Professionals","","160","3.728","61.9","27.5","8.1",".","",".","",".","",".",".",".",".",".",".","0.6",".",".","1.9"
"","Dept. Total","251","3.780","67.3","17.5","6.8",".","",".","",".","",".","3.6",".",".",".","2.0","0.4",".","1.2","1.2"
