"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"301
General Soil Science","001","","76","3.039","22.4","26.3","28.9",".","15.8","3.9","2.6",".",".",".",".",".",".",".",".","."
"305
Field Study of Soil","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"321
Soils and Environmental Chem","001","","18","3.222","22.2","22.2","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"323
Soil Biology","001","","19","3.250","31.6","26.3","10.5","10.5","15.8",".",".","5.3",".",".",".",".",".",".",".","."
"324
Soils and Envrnmtl Quality","001","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"325
Pedology","001","","7","3.429","57.1",".","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"332
Turfgrass Nutrient&Water Mgmt","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"370
Grassland Ecology","001","","8","3.500","75.0",".","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"499
Soil Management","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"532
Environmental Biophysics","001","","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","13","3.583","30.8","7.7",".",".","7.7",".",".","30.8",".",".",".",".",".","23.1",".","."
"622
Soil Physics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"728
Graduate Seminar","001","","19","3.875","15.8","5.3",".",".",".",".",".",".",".",".",".","78.9",".",".",".","."
"799","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Soil Science Teaching","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","22","",".",".",".",".",".",".",".","54.5",".",".",".","45.5",".",".",".","."
