"","990
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
077","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
078","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","117","",".",".",".",".",".",".",".","71.8",".",".",".","28.2",".",".",".","."
"BIOCHEM
200","Dept. Total","1448","3.264","41.2","11.3","20.0","6.2","7.6","1.6","0.8","7.3","0.1",".",".","3.0","0.7",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","41","3.726","78.0","4.9","14.6",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Junior","","391","3.160","36.3","13.0","25.6","9.0","13.3","1.5","0.8",".",".",".",".",".","0.3",".","0.3","."
"Senior","","552","3.200","38.2","12.1","24.5","9.2","9.2","2.7","1.1",".",".",".",".","2.0","0.9",".",".","."
"Undergraduates","","994","3.202","39.5","12.2","24.3","8.7","10.5","2.1","0.9",".",".",".",".","1.1","0.6",".","0.1","."
"Special","","33","2.994","33.3","21.2","18.2","3.0","9.1","3.0","6.1",".",".",".",".",".",".",".","6.1","."
"Graduate","","413","3.633","45.3","8.7","9.9","0.7","0.7","0.2",".","25.4","0.2",".",".","7.5","1.0",".","0.2","."
"Prof Yr 2","","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Prof Yr 3","","7","4.000","71.4",".",".",".",".",".",".","14.3",".",".",".","14.3",".",".",".","."
"Professionals","","8","4.000","62.5",".",".",".",".",".",".","12.5",".",".",".","25.0",".",".",".","."
"","Dept. Total","1448","3.264","41.2","11.3","20.0","6.2","7.6","1.6","0.8","7.3","0.1",".",".","3.0","0.7",".","0.3","."
