"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","439","3.803","79.0","12.3","4.1","2.1","1.1","0.7","0.5",".",".",".",".",".",".",".","0.2","."
"Voice Training","140
001","11","3.455","45.5","18.2","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","17","3.765","88.2",".","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","150
002","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
150","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","20","3.474","50.0","15.0","15.0","5.0","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"","150
005","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","17","3.688","82.4",".","5.9",".",".",".","5.9",".",".",".",".",".",".","5.9",".","."
"","150
010","17","3.813","58.8","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"Introduction to Acting","Course Total","135","3.784","74.1","16.3","3.7","0.7","1.5","0.7","0.7","0.7",".",".",".",".",".","0.7",".","0.7"
"Intro to Stage Production","001
160","23","3.435","60.9","21.7","4.3","4.3",".",".","8.7",".",".",".",".",".",".",".",".","."
"","161
001","10","3.600","90.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","161
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","35","3.814","85.7","8.6","2.9",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","162
001","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","219
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","219
002","11","3.833","54.5","27.3",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Undergrad Topics-","Course Total","15","3.769","46.7","40.0",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"History-Theatrical Production","224
001","47","3.000","23.4","14.9","21.3","27.7","6.4","2.1","2.1","2.1",".",".",".",".",".",".",".","."
"","250
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Costumes Technol","263
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Drama-A Strindberg","336
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Acting Realism","350
001","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
001","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
357","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
357","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","54","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","12","3.469","83.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","362
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
006","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","37","3.973","97.3",".","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","001
363","17","3.288","41.2","23.5","11.8","11.8",".",".","5.9",".",".",".",".",".","5.9",".",".","."
