"EGR","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","349
004","20","3.325","15.0","45.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","349
007","14","3.464","50.0","7.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","40","3.325","25.0","25.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001","9","3.389","11.1","55.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
003","19","3.289","21.1","42.1","15.8","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","Course Total","28","3.321","17.9","46.4","21.4","10.7","3.6",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","352
001","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","61","3.074","32.8","19.7","14.8","11.5","14.8","4.9","1.6",".",".",".",".",".",".",".",".","."
"","361
002","56","3.214","30.4","25.0","30.4","3.6","5.4","1.8","3.6",".",".",".",".",".",".",".",".","."
"","361
003","49","3.202","30.6","26.5","16.3","8.2","10.2","2.0","2.0",".",".",".",".",".","2.0","2.0",".","."
"Thermodynamics","Course Total","166","3.159","31.3","23.5","20.5","7.8","10.2","3.0","2.4",".",".",".",".",".","0.6","0.6",".","."
"","001
363","55","2.645","10.9","14.5","36.4","9.1","14.5","9.1","5.5",".",".",".",".",".",".",".",".","."
"","363
002","54","2.731","13.0","5.6","46.3","14.8","7.4","11.1","1.9",".",".",".",".",".",".",".",".","."
"","363
003","37","2.892","8.1","18.9","40.5","18.9","8.1","5.4",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","146","2.740","11.0","12.3","41.1","13.7","10.3","8.9","2.7",".",".",".",".",".",".",".",".","."
"","364
001","59","3.407","45.8","30.5","8.5","6.8","1.7","5.1","1.7",".",".",".",".",".",".",".",".","."
"","002
364","47","3.085","21.3","23.4","29.8","10.6","10.6","4.3",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","106","3.264","34.9","27.4","17.9","8.5","5.7","4.7","0.9",".",".",".",".",".",".",".",".","."
"Engr Measure & Instrumentation","001
368","75","2.887","16.0","14.7","28.0","16.0","24.0","1.3",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","64","3.305","18.8","29.7","48.4",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"","417
001","27","3.667","59.3","37.0",".",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"","417
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","29","3.672","58.6","37.9",".",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"","418
001","57","3.886","86.0","5.3","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","418
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","64","3.867","81.3","10.9","7.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Metal Cutting","429
001","18","3.611","55.6","27.8","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Vibrations","440
001","34","3.797","61.8","26.5","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","446
001","24","3.063","33.3","20.8","16.7","16.7",".","8.3","4.2",".",".",".",".",".",".",".",".","."
"","446
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Automatic Controls","Course Total","30","3.067","30.0","26.7","16.7","13.3",".","10.0","3.3",".",".",".",".",".",".",".",".","."
"Comptr Cntrl-Machns&Process","447
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internal Combustion Engines","469
001","45","3.081","17.8","13.3","46.7","11.1","4.4",".","2.2","4.4",".",".",".",".",".",".",".","."
"Engr Principles-Ag Machinery","475
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","6","3.906","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
