"L&S","","","","","","","","","","","","","","","","","","","","",""
"HEBREW (HEBREW AND SEMITI Section","#","Ave","A","AB","B","BC","C","","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","",""
"101
001","5","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"101
002","10","3.750","50.0","50.0",".",".","",".",".","",".",".",".",".",".","",".",".",".",".","."
"101
003","11","3.900","72.7","18.2",".",".","",".",".","",".","9.1",".",".",".","",".",".",".",".","."
"101
004","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Course Total
First Semester Hebrew","28","3.833","64.3","32.1",".",".","",".","",".",".","3.6",".",".","",".",".",".",".",".","."
"103
001
Elementary Biblical Hebrew, I","4","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"201
001","13","3.885","84.6","7.7","7.7",".","",".",".","",".",".",".",".",".","",".",".",".",".","."
"201
002","8","3.875","87.5",".","12.5",".","",".",".","",".",".",".",".",".","",".",".",".",".","."
"Course Total
Third Semester Hebrew","21","3.881","85.7","4.8","9.5",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"211
001
Introduction to Judaism","11","3.182","36.4","27.3","18.2","9.1","",".",".","","9.1",".",".",".",".","",".",".",".",".","."
"001
217
Intro to Biblical Lit","17","3.563","35.3","35.3","23.5",".","",".",".","",".",".",".",".",".","",".",".",".","5.9","."
"301
001
Intro to Hebrew Literature","10","3.600","60.0","10.0","20.0","10.0","",".",".","",".",".",".",".",".","",".",".",".",".","."
"303
001
Elementary Biblical Hebrew, I","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"323
001
Intermediate Biblical Hebrew I","4","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"401
001
Survey of Modern Hebrew Lit","8","3.500","12.5","75.0","12.5",".","",".",".","",".",".",".",".",".","",".",".",".",".","."
"448
001
Classical Rabbinic Texts","6","3.833","66.7","33.3",".",".","",".",".","",".",".",".",".",".","",".",".",".",".","."
"451
001
Biblical Archaeology","10","3.444","20.0","40.0","30.0",".","",".",".","",".",".",".",".",".","",".","10.0",".",".","."
"513
001
Biblical Texts, Poetry","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"533
001
Rdgs-Contemp Hebrew Lit","8","3.813","62.5","37.5",".",".","",".",".","",".",".",".",".",".","",".",".",".",".","."
"605
001
Syriac I","5","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"655
001
Psalms","4","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"699
019
Directed Study","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"799
012","4","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"799
021","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Course Total
Independent Study","6","3.667","50.0","33.3","16.7",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"990
002","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"990
012","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"990
021","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Course Total
Research and Thesis","4","***","","","","","","","","","","","","","","","","","","",""
"HEBR ST
Dept. Total
440","152","3.667","51.3","29.6","11.8","2.0","",".","",".","0.7","1.3","0.7",".","",".","1.3","0.7",".","0.7","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","24","3.720","54.2","33.3","12.5",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","32","3.784","65.6","28.1","3.1","3.1","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Junior","32","3.504","37.5","43.8","9.4","3.1","",".","",".","3.1",".",".",".","",".",".","3.1",".",".","."
"Senior","29","3.750","65.5","13.8","17.2",".","",".","",".",".","3.4",".",".","",".",".",".",".",".","."
"Undergraduates","117","3.687","55.6","29.9","10.3","1.7","",".","",".","0.9","0.9",".",".","",".",".","0.9",".",".","."
"Special","4","3.455","25.0","25.0","25.0",".","",".","",".",".",".",".",".","",".",".",".",".","25.0","."
"Graduate","31","3.593","38.7","29.0","16.1","3.2","",".","",".",".","3.2","3.2",".","",".","6.5",".",".",".","."
"Dept. Total","152","3.667","51.3","29.6","11.8","2.0","",".","",".","0.7","1.3","0.7",".","",".","1.3","0.7",".","0.7","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","","Page 222 of 403",""
