"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.425","40.0","20.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","21","3.500","47.6","19.0","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","24","3.438","33.3","45.8","16.7",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","101
007","22","3.591","50.0","27.3","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
008","21","3.405","47.6","14.3","28.6",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","101
009","20","3.275","40.0","30.0","5.0","15.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","101
010","23","3.370","34.8","30.4","21.7","8.7",".","4.3",".",".",".",".",".",".",".",".",".","."
"","101
012","23","3.667","43.5","34.8","13.0",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"","101
013","15","3.250","20.0","26.7","33.3","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"","101
014","22","3.545","36.4","40.9","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
015","20","3.425","60.0","10.0","10.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","101
017","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
018","19","3.211","36.8","21.1","21.1","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","269","3.466","43.9","26.8","17.5","6.7","1.9","0.7","1.5","1.1",".",".",".",".",".",".",".","."
"","102
002","18","3.417","38.9","16.7","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","19","3.605","47.4","26.3","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","11","3.364","27.3","54.5","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","102
006","17","3.406","41.2","17.6","17.6","11.8","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","008
102","12","3.250","33.3","33.3","8.3",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","77","3.428","39.0","27.3","20.8","5.2","5.2","1.3",".","1.3",".",".",".",".",".",".",".","."
"First Semester Italian Honors","181
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","18","3.471","27.8","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"","201
003","22","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","40","3.487","27.5","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".","2.5","."
"","203
002","19","3.263","36.8","21.1","26.3","10.5",".",".","5.3",".",".",".",".",".",".",".",".","."
"","203
003","19","3.500","36.8","15.8","26.3","5.3",".",".",".","15.8",".",".",".",".",".",".",".","."
"","203
004","18","3.594","50.0","16.7","16.7",".","5.6",".",".","11.1",".",".",".",".",".",".",".","."
"","203
005","16","3.469","43.8","18.8","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","203
006","20","3.500","45.0","20.0","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","92","3.460","42.4","18.5","26.1","3.3","3.3",".","1.1","5.4",".",".",".",".",".",".",".","."
"","204
002","17","3.594","58.8","11.8","5.9","17.6",".",".",".","5.9",".",".",".",".",".",".",".","."
"","204
003","11","3.545","45.5","36.4","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","28","3.574","53.6","21.4","7.1","10.7","3.6",".",".","3.6",".",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","21","3.381","23.8","33.3","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Italian for Rdg Knowledge","301
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","311
001","19","3.895","89.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","321
001","18","3.306","38.9","33.3","11.1","5.6",".","11.1",".",".",".",".",".",".",".",".",".","."
"Structures of Italian","340
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Ital Culture,Film,Lang","453
001","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Film","460
001","6","3.000","50.0",".",".",".",".",".","16.7","16.7",".",".",".",".","16.7",".",".","."
"La Poesia del Novecento","637
001","13","3.500","30.8",".","30.8",".",".",".",".","30.8",".",".",".",".","7.7",".",".","."
"Senior Honors Thesis","681
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 236 of 410",""
