"BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Actuarial Science Methods I","300
001","54","3.917","92.6","1.9","1.9","3.7",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"Actuarial Science Methods II","301
001","32","3.922","93.8",".","3.1","3.1",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"Theory-Interst & Life Insur","303
001","37","3.270","27.0","35.1","21.6","2.7","10.8","2.7",".","",".",".","",".",".","",".","",".","",".",".","."
"Actuarial Mathematics I","650
001","64","3.246","29.7","28.1","20.3","7.8","9.4","3.1",".","","1.6",".","",".",".","",".","",".","",".",".","."
"Loss Models I","652
001","70","3.243","12.9","32.9","47.1","4.3","2.9",".",".","",".",".","",".",".","",".","",".","",".",".","."
"ACT SCI
242","Dept. Total","257","3.346","45.9","21.4","21.8","4.7","4.7","1.2","",".","0.4","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","34","3.615","79.4","8.8","8.8",".","2.9",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","97","3.450","59.8","15.5","15.5","4.1","4.1","1.0","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","112","3.235","25.9","26.8","32.1","7.1","6.3","0.9","",".","0.9","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","244","3.346","47.1","19.7","22.1","4.9","4.9","0.8","",".","0.4","",".",".","",".","",".","",".",".",".","."
"Special","","1","1.000",".",".",".",".",".","100.0","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","12","3.542","25.0","58.3","16.7",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","257","3.346","45.9","21.4","21.8","4.7","4.7","1.2","",".","0.4","",".",".","",".","",".","",".",".",".","."
