"COMPARATIVE LITERATURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","",""
"201
Intro Pre-Modern Literature","001","","162","3.370","26.5","45.7","10.5","12.3","3.7","1.2",".",".",".",".",".",".",".",".",".","."
"202
Intro to Mod & Contemp Lit","001","","112","3.183","8.0","40.2","37.5","12.5","0.9",".","0.9",".",".",".",".",".",".",".",".","."
"368
Literature and Ideas","001","","48","3.576","37.5","37.5","18.8","2.1",".",".",".","4.2",".",".",".",".",".",".",".","."
"375
Lit & Related Disciplines","002","","21","3.500","23.8","57.1","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"379
Lit & Ethnic Experience","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"473","001","","14","3.577","57.1","14.3","7.1","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"473","002","","22","3.381","27.3","22.7","40.9","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Thematics","Course Total","","36","3.456","38.9","19.4","27.8","5.6","2.8",".",".","5.6",".",".",".",".",".",".",".","."
"475
Poetics and Literary Theory","002","","10","3.400","50.0","40.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Probs-Comparative Studies","001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Teaching in the Discipline","002","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"775
Lit & Related Disciplines","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"974
Seminar-Genre and Mode","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","2","***","","","","","","","","","","","","","","","",""
